team,recoveries,recoveries_opponent_field,recoveries_f3,duels,duels_won,fouls_committed,fouls_opponent_field,fouls_f3,shots_against,shots_onTarget,xGA,goals_against,clean_sheets,MP
AFC Bournemouth,1864,735,426,1473,410,419,226,118,440,155,46.7038072939,67,7,38
Arsenal,1903,823,495,1416,471,404,212,108,456,150,33.5746859927,33,18,38
Aston Villa,1842,675,379,1580,462,499,210,97,507,186,59.6440671942,72,6,38
Chelsea,1852,785,435,1590,529,469,237,95,493,176,47.968943584,51,9,38
Crystal Palace,1971,859,485,1654,407,553,296,166,570,171,52.8010225087,47,8,38
Everton,2001,738,428,1437,468,384,208,97,557,188,54.4084047828,54,10,38
Leicester City,1915,820,472,1983,528,457,239,116,517,138,46.1335511507,36,15,38
Liverpool,1999,872,475,1701,533,484,253,125,405,133,38.0275735649,49,11,38
Manchester City,1974,922,561,1404,478,482,240,118,343,127,39.0589341493,39,16,38
Manchester United,1844,792,440,1636,480,534,263,129,415,125,38.518749434300005,33,18,38
Newcastle United,1833,651,363,1735,498,495,231,110,558,181,56.3059680077,63,8,38
Norwich City,1830,757,413,1626,401,481,249,111,499,167,59.4055127427,66,5,38
Southampton,1830,769,453,1647,447,500,259,118,471,141,39.7503228985,41,12,38
Stoke City,1917,689,339,1446,442,480,228,97,539,175,55.236535552,55,10,38
Sunderland,1793,676,390,1719,513,474,220,95,584,219,61.214140240999996,61,7,38
Swansea City,1672,648,346,1528,430,463,218,99,526,172,50.7387962546,47,9,38
Tottenham Hotspur,1976,874,504,1648,507,500,273,134,428,122,35.5612196074,32,13,38
Watford,1885,756,430,1757,482,527,278,124,513,174,53.4119079633,48,11,38
West Bromwich Albion,1852,716,385,1675,385,464,242,125,557,158,48.6980629889,45,11,38
West Ham United,1941,777,448,1635,429,443,227,117,530,162,54.267445217,49,11,38
