team,recoveries,recoveries_opponent_field,recoveries_f3,duels,duels_won,fouls_committed,fouls_opponent_field,fouls_f3,shots_against,shots_onTarget,xGA,goals_against,clean_sheets,MP
Augsburg,1501,538,295,1370,340,583,272,141,541,179,53.6628659346,51,11,34
Bayer Leverkusen,1944,815,468,1535,398,565,322,157,360,139,40.5244760824,39,13,34
Bayern Munich,1604,741,429,1037,297,426,247,140,254,81,22.5902786853,16,20,34
Borussia Dortmund,1688,753,412,1152,344,425,239,120,270,108,30.8049580068,33,13,34
Borussia Mönchengladbach,1647,635,333,1374,375,505,260,128,443,148,47.209228392600004,47,7,34
Darmstadt 98,1489,632,383,1748,365,615,334,191,501,154,50.8028198747,50,8,34
Eintracht Frankfurt,1679,644,357,1449,401,589,305,156,431,173,53.3480105839,52,8,34
FC Köln,1479,508,291,1378,369,500,237,122,485,162,41.7555164361,42,8,34
FSV Mainz 05,1644,599,311,1539,385,586,330,163,465,161,48.3743091504,41,9,34
Hamburger SV,1690,644,314,1707,421,629,329,164,467,171,46.5797046487,44,9,34
Hannover 96,1611,603,350,1483,350,570,280,143,504,206,61.609897531,61,5,34
Hertha Berlin,1479,566,296,1352,351,520,245,124,430,144,42.5199736649,42,13,34
Hoffenheim,1546,567,321,1380,339,541,305,129,545,203,56.1479535925,51,6,34
Ingolstadt,1633,720,412,1819,366,572,350,173,360,116,41.857235358400004,42,10,34
Schalke 04,1614,623,355,1279,349,571,279,149,491,161,44.2772296339,47,8,34
VfB Stuttgart,1643,686,412,1505,371,554,303,151,462,205,61.0385987485,68,4,34
Werder Bremen,1754,732,410,1582,404,582,321,161,436,174,47.8193183597,62,2,34
Wolfsburg,1675,585,324,1191,344,509,256,124,386,148,39.784455416600004,49,9,34
