team,recoveries,recoveries_opponent_field,recoveries_f3,duels,duels_won,fouls_committed,fouls_opponent_field,fouls_f3,shots_against,shots_onTarget,xGA,goals_against,clean_sheets,MP
AC Milan,1993,827,482,1455,455,646,358,182,463,146,38.6860510734,42,11,38
AS Roma,1841,777,468,1208,332,577,339,170,439,151,41.1149258354,38,8,38
Atalanta,1801,688,387,1638,486,692,342,169,476,159,48.065867504399996,46,11,38
Bologna,1907,741,413,1536,449,585,304,154,487,157,51.6072931076,45,13,38
Carpi,2035,752,392,1726,500,706,378,183,513,172,49.4595075409,57,8,38
Chievo,1866,726,371,1554,408,689,379,191,604,179,49.6156625703,43,12,38
Empoli,1882,748,399,1223,361,560,330,164,539,164,44.6789548258,48,12,38
Fiorentina,1877,732,398,1247,375,591,361,180,352,114,35.2719858525,42,14,38
Frosinone,1858,746,413,1604,440,686,359,196,778,227,68.6773387519,75,7,38
Genoa,2042,779,407,1588,430,686,362,164,515,169,45.8826308278,45,12,38
Hellas Verona,1924,763,430,1576,462,678,374,199,528,178,58.2684040655,61,3,38
Inter Milan,1923,776,436,1437,408,558,285,143,476,153,44.0858811161,37,15,38
Juventus,1870,813,478,1172,397,617,340,185,349,98,22.4441384756,19,22,38
Lazio,2127,875,481,1504,443,645,346,175,432,157,43.9464068784,50,12,38
Napoli,1847,812,452,1207,433,485,290,147,348,90,28.2746211425,32,15,38
Palermo,2045,775,438,1489,408,674,360,183,618,200,56.9825543096,62,10,38
Sampdoria,1810,679,361,1281,409,617,322,165,609,206,63.5577506336,59,7,38
Sassuolo,2026,760,419,1489,392,622,349,181,483,147,41.199247373700004,39,11,38
Torino,1754,599,334,1396,423,708,352,185,452,147,40.7689972019,52,6,38
Udinese,1817,709,393,1504,374,640,329,161,537,170,48.1910998489,59,8,38
