team,recoveries,recoveries_opponent_field,recoveries_f3,duels,duels_won,fouls_committed,fouls_opponent_field,fouls_f3,shots_against,shots_onTarget,xGA,goals_against,clean_sheets,MP
Athletic Club,1910,881,453,1623,480,579,350,171,385,137,40.7937003,43,13,38
Atlético Madrid,1900,861,502,1800,576,590,325,147,371,103,25.7091890812,18,24,38
Barcelona,1737,777,466,1012,395,426,256,135,368,124,32.6863177642,27,18,38
Celta Vigo,1895,724,402,1714,516,616,310,141,469,166,49.9075976101,57,10,38
Eibar,1934,843,442,1842,508,718,390,179,392,153,49.8720044361,60,7,38
Espanyol,1685,637,354,1672,492,765,384,174,497,181,53.6415535731,72,7,38
Getafe,1832,725,409,1517,465,654,308,128,478,192,55.9477912797,66,8,38
Granada,1710,661,365,1609,459,682,385,172,443,174,58.2703313246,67,4,38
Las Palmas,1819,608,321,1452,447,543,285,147,482,187,57.9173288111,52,11,38
Levante UD,1794,706,394,1454,375,640,328,162,507,187,57.7700583296,67,6,38
Málaga,1876,760,431,1663,445,636,375,198,409,137,42.894855425399996,32,12,38
RC Deportivo La Coruña,1770,712,395,1611,525,471,234,98,417,157,47.979609941199996,60,7,38
Rayo Vallecano,1820,729,420,1784,433,642,328,131,484,190,60.0971117519,71,6,38
Real Betis,1832,710,391,1679,464,597,276,120,531,183,55.654453386200004,51,12,38
Real Madrid,1715,716,448,1122,469,497,267,134,440,142,44.334493361599996,34,14,38
Real Sociedad,1788,782,428,1617,459,544,307,154,423,157,45.9748473994,47,13,38
Sevilla,1671,664,420,1436,427,643,313,175,544,172,45.2015918122,48,11,38
Sporting Gijón,1768,653,347,1793,469,637,328,136,546,205,58.2831013148,61,7,38
Valencia,1745,647,328,1634,482,643,326,160,521,181,56.9469586507,47,7,38
Villarreal,1726,610,333,1544,418,613,310,135,461,135,39.891905242,34,17,38
