team,total_passes,total_completed,total_uncompleted,total_percentage%,f3_passes,f3_completed,f3_uncompleted,f3_percentage%,short_passes,short_completed,short_uncompleted,short_percentage%,long_passes,long_completed,long_uncompleted,long_percentage%,average_pass_length,crosses,crosses_completed,crosses_uncompleted,crosses_percentage%,MP
Napoli,26906,22701,4205,84.37151564706757,2671,1695,976,63.45937850992138,18602,17387,1215,93.46844425330609,2099,885,1214,42.162934730824205,16.582879870830226,519,109,410,21.001926782273603,38
Bayern Munich,25862,22515,3347,87.05823215528574,2633,1966,667,74.66767945309533,18128,17133,995,94.511253309797,2090,1065,1025,50.95693779904307,18.200876844559282,561,196,365,34.93761140819964,34
Barcelona,25707,22132,3575,86.09328198545143,2520,1911,609,75.83333333333333,17123,16023,1100,93.57589207498685,2182,1275,907,58.43263061411549,17.848853560510417,456,137,319,30.043859649122805,38
Fiorentina,23775,19968,3807,83.98738170347004,2281,1447,834,63.43708899605436,16065,15065,1000,93.77528789293495,2329,1007,1322,43.23744096178617,18.561553476933767,430,124,306,28.837209302325583,38
Real Madrid,23279,19698,3581,84.61703681429614,2225,1597,628,71.7752808988764,15556,14508,1048,93.2630496271535,2388,1222,1166,51.17252931323283,18.465597127397107,683,222,461,32.503660322108345,38
Borussia Dortmund,22982,19241,3741,83.72204333826473,2399,1580,819,65.86077532305127,15812,14734,1078,93.18239311915,1789,724,1065,40.469536053661265,18.18339423426567,444,141,303,31.756756756756754,34
Arsenal,22709,18758,3951,82.60161169580343,2389,1611,778,67.43407283382167,14692,13552,1140,92.24067519738634,2189,965,1224,44.08405664687072,18.199893479055632,476,159,317,33.403361344537814,38
Manchester City,22340,18168,4172,81.3249776186213,2406,1581,825,65.71072319201996,14630,13445,1185,91.9002050580998,2040,783,1257,38.38235294117647,18.10950642802236,540,146,394,27.037037037037038,38
AS Roma,21927,17772,4155,81.05075933780272,2276,1417,859,62.258347978910365,13463,12542,921,93.1590284483399,2606,1151,1455,44.16730621642363,18.728796802020778,528,158,370,29.924242424242426,38
Manchester United,21890,17628,4262,80.52992233896757,2414,1520,894,62.96603148301574,13091,12100,991,92.429913681155,2518,995,1523,39.515488482922954,19.413402575511437,521,130,391,24.95201535508637,38
Juventus,21563,17966,3597,83.31864768353198,2138,1393,745,65.15434985968194,13573,12658,915,93.25867531127975,2222,1109,1113,49.90999099909991,19.054016828307745,505,155,350,30.693069306930692,38
Liverpool,21464,16991,4473,79.1604547148714,2427,1469,958,60.52740008240626,12984,11862,1122,91.35859519408503,2298,889,1409,38.685813751087906,18.959321599801605,511,145,366,28.37573385518591,38
Chelsea,21275,17277,3998,81.20799059929494,2238,1377,861,61.52815013404825,13356,12296,1060,92.06349206349206,2221,913,1308,41.10760918505178,18.592155388233316,459,135,324,29.411764705882355,38
Las Palmas,21077,16923,4154,80.29131280542772,1886,1119,767,59.33191940615058,13070,12035,1035,92.08110175975517,2430,975,1455,40.123456790123456,18.963838082663287,328,99,229,30.182926829268293,38
Inter Milan,20666,16578,4088,80.21871673279783,2137,1291,846,60.41179223210108,12586,11606,980,92.21357063403782,2331,975,1356,41.82754182754182,18.923078318030853,564,152,412,26.95035460992908,38
