team,match_week,ppda
AC Milan,1,13.714285714285714
AC Milan,2,9.210526315789474
AC Milan,3,7.04
AC Milan,4,11.357142857142858
AC Milan,5,8.8125
AC Milan,6,9.533333333333333
AC Milan,7,15.777777777777779
AC Milan,8,11.411764705882353
AC Milan,9,8.791666666666666
AC Milan,10,11.555555555555555
AC Milan,11,18.615384615384617
AC Milan,12,13.785714285714286
AC Milan,13,9.705882352941176
AC Milan,14,10.368421052631579
AC Milan,15,8.5
AC Milan,16,10.105263157894736
AC Milan,17,10.25
AC Milan,18,8.173913043478262
AC Milan,19,12.941176470588236
AC Milan,20,13.15
AC Milan,21,7.75
AC Milan,22,10.090909090909092
AC Milan,23,8.4
AC Milan,24,7.136363636363637
AC Milan,25,9.947368421052632
AC Milan,26,18.4
AC Milan,27,8.222222222222221
AC Milan,28,14.909090909090908
AC Milan,29,12.23076923076923
AC Milan,30,12.6
AC Milan,31,8.526315789473685
AC Milan,32,10.35
AC Milan,33,9.533333333333333
AC Milan,34,4.379310344827586
AC Milan,35,10.461538461538462
AC Milan,36,4.25
AC Milan,37,7.863636363636363
AC Milan,38,19.5
AS Roma,1,6.7894736842105265
AS Roma,2,8.736842105263158
AS Roma,3,10.909090909090908
AS Roma,4,8.166666666666666
AS Roma,5,8.473684210526315
AS Roma,6,9.882352941176471
AS Roma,7,12.909090909090908
AS Roma,8,12.875
AS Roma,9,15.411764705882353
AS Roma,10,12.636363636363637
AS Roma,11,8.705882352941176
AS Roma,12,12.333333333333334
AS Roma,13,9.529411764705882
AS Roma,14,7.125
AS Roma,15,9.807692307692308
AS Roma,16,24.666666666666668
AS Roma,17,11.846153846153847
AS Roma,18,22.375
AS Roma,19,11.6
AS Roma,20,6.761904761904762
AS Roma,21,10.375
AS Roma,22,6.315789473684211
AS Roma,23,14.0
AS Roma,24,15.866666666666667
AS Roma,25,8.647058823529411
AS Roma,26,9.842105263157896
AS Roma,27,19.4
AS Roma,28,15.533333333333333
AS Roma,29,7.521739130434782
AS Roma,30,7.379310344827586
AS Roma,31,9.5625
AS Roma,32,6.888888888888889
AS Roma,33,9.2
AS Roma,34,13.2
AS Roma,35,11.238095238095237
AS Roma,36,9.833333333333334
AS Roma,37,9.818181818181818
AS Roma,38,14.916666666666666
Atalanta,1,33.2
Atalanta,2,11.25
Atalanta,3,11.647058823529411
Atalanta,4,8.8125
Atalanta,5,9.428571428571429
Atalanta,6,8.619047619047619
Atalanta,7,27.0
Atalanta,8,7.0
Atalanta,9,20.416666666666668
Atalanta,10,10.222222222222221
Atalanta,11,10.588235294117647
Atalanta,12,7.68
Atalanta,13,10.133333333333333
Atalanta,14,10.25
Atalanta,15,13.833333333333334
Atalanta,16,17.454545454545453
Atalanta,17,15.928571428571429
Atalanta,18,9.583333333333334
Atalanta,19,16.46153846153846
Atalanta,20,9.944444444444445
Atalanta,21,11.285714285714286
Atalanta,22,9.904761904761905
Atalanta,23,9.5
Atalanta,24,9.409090909090908
Atalanta,25,10.736842105263158
Atalanta,26,12.823529411764707
Atalanta,27,5.631578947368421
Atalanta,28,15.142857142857142
Atalanta,29,14.866666666666667
Atalanta,30,16.6
Atalanta,31,12.846153846153847
Atalanta,32,10.210526315789474
Atalanta,33,17.09090909090909
Atalanta,34,14.454545454545455
Atalanta,35,14.153846153846153
Atalanta,36,12.277777777777779
Atalanta,37,16.9
Atalanta,38,11.615384615384615
Bologna,1,25.11111111111111
Bologna,2,11.777777777777779
