team,match_week,ppda
Augsburg,1,13.555555555555555
Augsburg,2,8.45
Augsburg,3,7.705882352941177
Augsburg,4,40.5
Augsburg,5,15.416666666666666
Augsburg,6,12.88888888888889
Augsburg,7,13.818181818181818
Augsburg,8,23.1
Augsburg,9,10.23076923076923
Augsburg,10,13.8125
Augsburg,11,5.32
Augsburg,12,9.333333333333334
Augsburg,13,19.0
Augsburg,14,10.52
Augsburg,15,13.5
Augsburg,16,20.5
Augsburg,17,17.333333333333332
Augsburg,18,19.666666666666668
Augsburg,19,12.0
Augsburg,20,13.333333333333334
Augsburg,21,23.307692307692307
Augsburg,22,22.666666666666668
Augsburg,23,24.2
Augsburg,24,34.166666666666664
Augsburg,25,20.636363636363637
Augsburg,26,6.857142857142857
Augsburg,27,36.0
Augsburg,28,18.153846153846153
Augsburg,29,17.666666666666668
Augsburg,30,15.25
Augsburg,31,20.9
Augsburg,32,11.5
Augsburg,33,30.5
Augsburg,34,11.6875
Bayer Leverkusen,1,8.090909090909092
Bayer Leverkusen,2,7.037037037037037
Bayer Leverkusen,3,22.571428571428573
Bayer Leverkusen,4,8.214285714285714
Bayer Leverkusen,5,17.071428571428573
Bayer Leverkusen,6,10.176470588235293
Bayer Leverkusen,7,6.739130434782608
Bayer Leverkusen,8,7.88
Bayer Leverkusen,9,6.928571428571429
Bayer Leverkusen,10,9.666666666666666
Bayer Leverkusen,11,13.266666666666667
Bayer Leverkusen,12,10.052631578947368
Bayer Leverkusen,13,10.0625
Bayer Leverkusen,14,8.36
Bayer Leverkusen,15,19.533333333333335
Bayer Leverkusen,16,11.863636363636363
Bayer Leverkusen,17,13.818181818181818
Bayer Leverkusen,18,10.0
Bayer Leverkusen,19,9.555555555555555
Bayer Leverkusen,20,15.0625
Bayer Leverkusen,21,7.588235294117647
Bayer Leverkusen,22,12.368421052631579
Bayer Leverkusen,23,10.625
Bayer Leverkusen,24,9.333333333333334
Bayer Leverkusen,25,10.681818181818182
Bayer Leverkusen,26,7.071428571428571
Bayer Leverkusen,27,11.15
Bayer Leverkusen,28,12.708333333333334
Bayer Leverkusen,29,18.818181818181817
Bayer Leverkusen,30,7.444444444444445
Bayer Leverkusen,31,21.166666666666668
Bayer Leverkusen,32,14.933333333333334
Bayer Leverkusen,33,23.545454545454547
Bayer Leverkusen,34,24.125
Bayern Munich,1,7.3
Bayern Munich,2,8.214285714285714
Bayern Munich,3,6.647058823529412
Bayern Munich,4,7.705882352941177
Bayern Munich,5,10.5
Bayern Munich,6,26.444444444444443
Bayern Munich,7,13.23076923076923
Bayern Munich,8,14.266666666666667
Bayern Munich,9,8.0
Bayern Munich,10,12.583333333333334
Bayern Munich,11,7.083333333333333
Bayern Munich,12,10.76923076923077
Bayern Munich,13,10.117647058823529
Bayern Munich,14,10.5
Bayern Munich,15,9.4
Bayern Munich,16,8.923076923076923
Bayern Munich,17,10.916666666666666
Bayern Munich,18,9.125
Bayern Munich,19,9.944444444444445
Bayern Munich,20,9.8
Bayern Munich,21,10.222222222222221
Bayern Munich,22,7.705882352941177
Bayern Munich,23,17.727272727272727
Bayern Munich,24,7.782608695652174
Bayern Munich,25,10.619047619047619
Bayern Munich,26,8.466666666666667
Bayern Munich,27,9.294117647058824
Bayern Munich,28,14.8
Bayern Munich,29,8.0
Bayern Munich,30,15.75
Bayern Munich,31,7.9411764705882355
Bayern Munich,32,14.647058823529411
Bayern Munich,33,12.545454545454545
Bayern Munich,34,21.0
Borussia Dortmund,1,16.823529411764707
Borussia Dortmund,2,10.636363636363637
Borussia Dortmund,3,12.058823529411764
Borussia Dortmund,4,7.157894736842105
Borussia Dortmund,5,11.0
Borussia Dortmund,6,11.583333333333334
Borussia Dortmund,7,5.666666666666667
Borussia Dortmund,8,26.5
Borussia Dortmund,9,15.625
Borussia Dortmund,10,23.125
Borussia Dortmund,11,8.833333333333334
Borussia Dortmund,12,9.708333333333334
Borussia Dortmund,13,8.333333333333334
Borussia Dortmund,14,7.833333333333333
Borussia Dortmund,15,12.5
Borussia Dortmund,16,10.266666666666667
Borussia Dortmund,17,11.7
Borussia Dortmund,18,18.5
Borussia Dortmund,19,5.136363636363637
Borussia Dortmund,20,9.894736842105264
Borussia Dortmund,21,6.857142857142857
Borussia Dortmund,22,12.9375
Borussia Dortmund,23,9.0
Borussia Dortmund,24,5.0
Borussia Dortmund,25,34.125
Borussia Dortmund,26,28.714285714285715
Borussia Dortmund,27,10.071428571428571
Borussia Dortmund,28,7.45
Borussia Dortmund,29,13.866666666666667
Borussia Dortmund,30,13.0
Borussia Dortmund,31,16.818181818181817
Borussia Dortmund,32,9.91304347826087
Borussia Dortmund,33,5.722222222222222
Borussia Dortmund,34,6.55
Borussia Mönchengladbach,1,20.285714285714285
Borussia Mönchengladbach,2,12.214285714285714
Borussia Mönchengladbach,3,8.333333333333334
Borussia Mönchengladbach,4,14.047619047619047
Borussia Mönchengladbach,5,13.733333333333333
Borussia Mönchengladbach,6,13.117647058823529
Borussia Mönchengladbach,7,7.7
Borussia Mönchengladbach,8,15.75
Borussia Mönchengladbach,9,15.583333333333334
Borussia Mönchengladbach,10,12.538461538461538
Borussia Mönchengladbach,11,20.083333333333332
Borussia Mönchengladbach,12,7.5625
Borussia Mönchengladbach,13,11.875
Borussia Mönchengladbach,14,5.76
Borussia Mönchengladbach,15,17.583333333333332
Borussia Mönchengladbach,16,10.357142857142858
Borussia Mönchengladbach,17,7.625
Borussia Mönchengladbach,18,21.555555555555557
Borussia Mönchengladbach,19,11.352941176470589
Borussia Mönchengladbach,20,15.777777777777779
Borussia Mönchengladbach,21,16.727272727272727
Borussia Mönchengladbach,22,9.55
Borussia Mönchengladbach,23,18.833333333333332
