team,total_passes,total_completed,total_uncompleted,total_percentage%,f3_passes,f3_completed,f3_uncompleted,f3_percentage%,short_passes,short_completed,short_uncompleted,short_percentage%,long_passes,long_completed,long_uncompleted,long_percentage%,average_pass_length,crosses,crosses_completed,crosses_uncompleted,crosses_percentage%,MP
AFC Bournemouth,19406,15163,4243,78.13562815624033,2137,1247,890,58.35283107159569,11010,10006,1004,90.88101725703905,2425,982,1443,40.49484536082474,19.60162681547866,476,149,327,31.30252100840336,38
Arsenal,22709,18758,3951,82.60161169580343,2389,1611,778,67.43407283382167,14692,13552,1140,92.24067519738634,2189,965,1224,44.08405664687072,18.199893479055632,476,159,317,33.403361344537814,38
Aston Villa,17168,13015,4153,75.8096458527493,2027,1127,900,55.59940799210656,9262,8489,773,91.65407039516303,2508,999,1509,39.83253588516747,20.174681423913967,486,115,371,23.662551440329217,38
Chelsea,21275,17277,3998,81.20799059929494,2238,1377,861,61.52815013404825,13356,12296,1060,92.06349206349206,2221,913,1308,41.10760918505178,18.592155388233316,459,135,324,29.411764705882355,38
Crystal Palace,15808,11395,4413,72.08375506072875,2292,1072,1220,46.77137870855148,7436,6741,695,90.65357719203872,2940,1024,1916,34.82993197278911,21.72492446122737,557,153,404,27.468581687612208,38
Everton,19868,15843,4025,79.74129253070264,2209,1327,882,60.07243096423721,12043,11107,936,92.22785020343768,2458,948,1510,38.56794141578519,19.941546417435898,473,119,354,25.158562367864697,38
Leicester City,15093,10401,4692,68.91274100576426,2487,1140,1347,45.83835946924005,6777,6052,725,89.3020510550391,2939,979,1960,33.310649880911875,21.41046316669876,516,137,379,26.550387596899228,38
Liverpool,21464,16991,4473,79.1604547148714,2427,1469,958,60.52740008240626,12984,11862,1122,91.35859519408503,2298,889,1409,38.685813751087906,18.959321599801605,511,145,366,28.37573385518591,38
Manchester City,22340,18168,4172,81.3249776186213,2406,1581,825,65.71072319201996,14630,13445,1185,91.9002050580998,2040,783,1257,38.38235294117647,18.10950642802236,540,146,394,27.037037037037038,38
Manchester United,21890,17628,4262,80.52992233896757,2414,1520,894,62.96603148301574,13091,12100,991,92.429913681155,2518,995,1523,39.515488482922954,19.413402575511437,521,130,391,24.95201535508637,38
Newcastle United,16799,12660,4139,75.36162866837311,1998,1070,928,53.553553553553556,8767,7949,818,90.66955629063533,2535,981,1554,38.69822485207101,20.270288845287144,475,147,328,30.94736842105263,38
Norwich City,16652,11912,4740,71.53495075666586,2269,1070,1199,47.15733803437638,8210,7324,886,89.20828258221681,2710,924,1786,34.095940959409596,20.6684959927227,507,129,378,25.443786982248522,38
Southampton,17995,13530,4465,75.18755209780494,2398,1335,1063,55.67139282735612,9136,8333,803,91.21059544658495,2830,1166,1664,41.20141342756184,20.526170047054915,606,182,424,30.033003300330037,38
Stoke City,17878,13778,4100,77.06678599395906,2355,1276,1079,54.182590233545646,10009,9258,751,92.49675292236986,2547,933,1614,36.63133097762073,20.9827619592654,404,88,316,21.782178217821784,38
Sunderland,14541,10015,4526,68.87421772917956,2348,1017,1331,43.313458262350935,6699,5999,700,89.55067920585162,2874,949,1925,33.02018093249826,22.448420863015834,329,87,242,26.443768996960486,38
Swansea City,20003,15867,4136,79.32310153476978,2115,1193,922,56.40661938534279,11567,10681,886,92.34027837814473,2283,885,1398,38.76478318002628,19.624445468400076,442,108,334,24.43438914027149,38
Tottenham Hotspur,20624,16226,4398,78.67532971295577,2527,1482,1045,58.64661654135338,11906,10967,939,92.1132202250966,2577,1012,1565,39.27046953822274,20.121035670698216,431,120,311,27.842227378190255,38
Watford,16362,11598,4764,70.88375504217088,2406,1121,1285,46.59185369908562,7817,7090,727,90.69975694000256,2984,1087,1897,36.42761394101876,20.819347411696466,397,96,301,24.181360201511335,38
West Bromwich Albion,13971,9489,4482,67.91926132703458,2343,1078,1265,46.009389671361504,5947,5295,652,89.03648898604338,2935,1080,1855,36.79727427597956,22.577374549710385,462,138,324,29.87012987012987,38
West Ham United,16773,12665,4108,75.50825731830919,2134,1108,1026,51.921274601686974,8899,8121,778,91.257444656703,2629,1022,1607,38.874096614682394,20.66176406741557,477,141,336,29.559748427672954,38
