team,total_passes,total_completed,total_uncompleted,total_percentage%,f3_passes,f3_completed,f3_uncompleted,f3_percentage%,short_passes,short_completed,short_uncompleted,short_percentage%,long_passes,long_completed,long_uncompleted,long_percentage%,average_pass_length,crosses,crosses_completed,crosses_uncompleted,crosses_percentage%,MP
AC Milan,18933,14725,4208,77.77425658902446,2134,1264,870,59.231490159325205,11114,10115,999,91.01133705236639,2350,960,1390,40.85106382978723,19.252968943826197,485,134,351,27.628865979381445,38
AS Roma,21927,17772,4155,81.05075933780272,2276,1417,859,62.258347978910365,13463,12542,921,93.1590284483399,2606,1151,1455,44.16730621642363,18.728796802020778,528,158,370,29.924242424242426,38
Atalanta,17392,12813,4579,73.67180312787488,2025,1037,988,51.20987654320987,9254,8369,885,90.43656797060731,2843,1081,1762,38.02321491382343,20.195025704285957,621,179,442,28.824476650563607,38
Bologna,17594,13370,4224,75.99181539161077,2146,1136,1010,52.93569431500465,9911,8938,973,90.18262536575521,2479,955,1524,38.52359822509076,19.89930582621869,364,99,265,27.197802197802197,38
Carpi,14094,9467,4627,67.17042713211295,2300,1034,1266,44.95652173913044,6446,5634,812,87.40304064536146,2793,913,1880,32.68886501969209,21.45927365423045,429,115,314,26.806526806526808,38
Chievo,16891,12416,4475,73.50660114854064,2164,1081,1083,49.953789279112755,8744,7928,816,90.66788655077768,2738,1014,1724,37.034331628926225,20.306839913118676,415,137,278,33.01204819277108,38
Empoli,20181,16203,3978,80.2883900698677,2145,1186,959,55.29137529137529,13239,12104,1135,91.42684492786465,2082,788,1294,37.848222862632085,17.421846526801346,290,68,222,23.448275862068964,38
Fiorentina,23775,19968,3807,83.98738170347004,2281,1447,834,63.43708899605436,16065,15065,1000,93.77528789293495,2329,1007,1322,43.23744096178617,18.561553476933767,430,124,306,28.837209302325583,38
Frosinone,13267,9031,4236,68.07115399110575,2093,967,1126,46.20162446249403,5836,5106,730,87.49143248800549,2807,1027,1780,36.58710366939793,22.080048946921952,416,110,306,26.442307692307693,38
Genoa,17706,13368,4338,75.49983056590986,2037,1097,940,53.85370643102602,10243,9227,1016,90.08103094796446,2493,966,1527,38.748495788206974,19.82616098155129,486,140,346,28.80658436213992,38
Hellas Verona,16397,11915,4482,72.66573153625663,2113,1038,1075,49.12446758163748,8338,7536,802,90.38138642360278,2925,1141,1784,39.008547008547005,20.925578384639113,583,174,409,29.845626072041163,38
Inter Milan,20666,16578,4088,80.21871673279783,2137,1291,846,60.41179223210108,12586,11606,980,92.21357063403782,2331,975,1356,41.82754182754182,18.923078318030853,564,152,412,26.95035460992908,38
Juventus,21563,17966,3597,83.31864768353198,2138,1393,745,65.15434985968194,13573,12658,915,93.25867531127975,2222,1109,1113,49.90999099909991,19.054016828307745,505,155,350,30.693069306930692,38
Lazio,20150,15571,4579,77.27543424317618,2304,1279,1025,55.51215277777778,11582,10519,1063,90.821965118287,2642,1083,1559,40.99167297501892,19.327867132867716,631,139,492,22.028526148969892,38
Napoli,26906,22701,4205,84.37151564706757,2671,1695,976,63.45937850992138,18602,17387,1215,93.46844425330609,2099,885,1214,42.162934730824205,16.582879870830226,519,109,410,21.001926782273603,38
Palermo,15919,11669,4250,73.30234311200452,1957,1056,901,53.960143076136944,8345,7498,847,89.85020970641102,2580,1003,1577,38.87596899224806,19.83831692873784,505,130,375,25.742574257425744,38
Sampdoria,18245,14251,3994,78.10907097835023,2073,1162,911,56.05402797877473,10832,9895,937,91.34970457902511,2541,1004,1537,39.51200314836679,20.092988519155977,342,105,237,30.701754385964914,38
Sassuolo,18637,14172,4465,76.0422814830713,2273,1291,982,56.79718433787946,10462,9471,991,90.52762378130377,2616,1081,1535,41.32262996941896,19.569907718331738,529,141,388,26.65406427221172,38
Torino,17277,13676,3601,79.15726109857036,1800,1001,799,55.611111111111114,9612,8912,700,92.71743653766126,2515,1108,1407,44.05566600397614,21.4023656806083,477,140,337,29.350104821802937,38
Udinese,16147,11664,4483,72.236328729795,2247,1204,1043,53.58255451713395,8215,7420,795,90.32258064516128,2865,1117,1748,38.98778359511344,20.62458504069066,533,130,403,24.390243902439025,38
