team,total_passes,total_completed,total_uncompleted,total_percentage%,f3_passes,f3_completed,f3_uncompleted,f3_percentage%,short_passes,short_completed,short_uncompleted,short_percentage%,long_passes,long_completed,long_uncompleted,long_percentage%,average_pass_length,crosses,crosses_completed,crosses_uncompleted,crosses_percentage%,MP
Athletic Club,18308,13455,4853,73.49246231155779,2444,1292,1152,52.864157119476275,9348,8354,994,89.36670945656824,2973,1211,1762,40.73326606121763,20.594240861040696,537,161,376,29.981378026070765,38
Atlético Madrid,19209,14673,4536,76.38606903014212,2251,1314,937,58.37405597512216,11108,9976,1132,89.8091465610371,2479,940,1539,37.91851553045583,18.16733591106215,499,134,365,26.853707414829657,38
Barcelona,25707,22132,3575,86.09328198545143,2520,1911,609,75.83333333333333,17123,16023,1100,93.57589207498685,2182,1275,907,58.43263061411549,17.848853560510417,456,137,319,30.043859649122805,38
Celta Vigo,20611,16210,4401,78.64732424433555,2302,1320,982,57.34144222415291,12421,11379,1042,91.61098140246357,2521,928,1593,36.8107893692979,19.945509041373725,360,97,263,26.944444444444443,38
Eibar,16182,10874,5308,67.19812136942281,2460,1114,1346,45.28455284552845,6851,5856,995,85.47657276310028,3204,1198,2006,37.39076154806492,21.90095573865668,510,146,364,28.627450980392155,38
Espanyol,16128,11793,4335,73.12127976190477,2098,1070,1028,51.00095328884652,8337,7456,881,89.43264963416097,2637,985,1652,37.353052711414485,20.63223140710117,430,120,310,27.906976744186046,38
Getafe,16080,11860,4220,73.75621890547264,2074,1062,1012,51.205400192864026,8471,7565,906,89.30468657773581,2685,1005,1680,37.43016759776536,20.690910672465836,420,127,293,30.238095238095237,38
Granada,15170,10957,4213,72.22808174027686,2079,1032,1047,49.63924963924964,7402,6552,850,88.51661713050527,2757,1090,1667,39.535727239753356,21.50620657444999,396,92,304,23.232323232323232,38
Las Palmas,21077,16923,4154,80.29131280542772,1886,1119,767,59.33191940615058,13070,12035,1035,92.08110175975517,2430,975,1455,40.123456790123456,18.963838082663287,328,99,229,30.182926829268293,38
Levante UD,16295,11871,4424,72.85056765879105,2144,1061,1083,49.48694029850746,7933,7106,827,89.57519223496786,2809,1180,1629,42.00783196867213,21.086046971136934,475,129,346,27.157894736842103,38
Málaga,16807,12064,4743,71.779615636342,2326,1149,1177,49.39810834049871,8484,7460,1024,87.93022159358793,2734,1044,1690,38.18580833942941,20.065399107789737,486,129,357,26.543209876543212,38
RC Deportivo La Coruña,17611,12862,4749,73.03389926750327,2355,1228,1127,52.14437367303609,8717,7856,861,90.12274865205919,3028,1145,1883,37.81373844121532,21.465529155738334,459,102,357,22.22222222222222,38
Rayo Vallecano,18936,14175,4761,74.8574144486692,2290,1154,1136,50.393013100436676,9867,8933,934,90.53410357758183,2825,1061,1764,37.557522123893804,20.493380407236103,599,155,444,25.87646076794658,38
Real Betis,16540,12122,4418,73.28899637243047,1935,949,986,49.04392764857881,8842,7976,866,90.20583578375933,2521,821,1700,32.56644188813962,19.881838330866216,398,122,276,30.65326633165829,38
Real Madrid,23279,19698,3581,84.61703681429614,2225,1597,628,71.7752808988764,15556,14508,1048,93.2630496271535,2388,1222,1166,51.17252931323283,18.465597127397107,683,222,461,32.503660322108345,38
Real Sociedad,18735,14031,4704,74.89191353082467,2307,1307,1000,56.653662765496314,9945,9013,932,90.62845651080946,2749,1077,1672,39.17788286649691,20.043451021465504,645,177,468,27.44186046511628,38
Sevilla,17372,13002,4370,74.84457748100391,1989,1062,927,53.39366515837104,9440,8489,951,89.92584745762711,2470,1010,1460,40.89068825910931,20.184289365910466,632,175,457,27.689873417721518,38
Sporting Gijón,15681,11080,4601,70.65875900771634,2102,986,1116,46.90770694576594,7980,7052,928,88.37092731829574,2733,856,1877,31.320892791803878,21.300083758110755,484,124,360,25.6198347107438,38
Valencia,18014,13836,4178,76.80692794493173,1963,1149,814,58.532857870606215,10020,9057,963,90.38922155688623,2525,1079,1446,42.73267326732673,20.21272551758452,467,119,348,25.481798715203425,38
Villarreal,17546,13145,4401,74.91736008206999,2038,1076,962,52.79685966633954,9808,8707,1101,88.77446982055464,2264,867,1397,38.29505300353357,19.88160717361316,342,84,258,24.561403508771928,38
