team,total_shots,onTarget,offTarget,post,blocked,goals,xG_total,onTarget_percentage%,Shot_to_goal_ratio,Shot_onTarget_to_goal_ratio,xG/shot,MP,Sh/90,SoT/90
Bayern Munich,622,258,183,15,124,78,73.353521299,41.47909967845659,12.540192926045016,30.23255813953488,0.11793170626848873,34,18.294117647058822,7.588235294117647
Borussia Dortmund,524,209,167,7,117,80,77.1420916137,39.88549618320611,15.267175572519085,38.27751196172249,0.14721773208721375,34,15.411764705882353,6.147058823529412
Wolfsburg,494,186,161,6,100,46,47.2867143419,37.65182186234818,9.31174089068826,24.731182795698924,0.09572209380951417,34,14.529411764705882,5.470588235294118
VfB Stuttgart,491,175,147,10,123,48,53.9672469355,35.64154786150713,9.775967413441954,27.42857142857143,0.10991292654887984,34,14.441176470588236,5.147058823529412
Schalke 04,486,164,160,7,116,47,45.7951141457,33.744855967078195,9.670781893004115,28.65853658536585,0.09422862992942387,34,14.294117647058824,4.823529411764706
Bayer Leverkusen,480,178,131,17,110,51,49.7986809897,37.083333333333336,10.625,28.651685393258425,0.103747252061875,34,14.117647058823529,5.235294117647059
Borussia Mönchengladbach,457,190,123,15,107,64,49.1978222654,41.57549234135667,14.00437636761488,33.68421052631579,0.10765387804245076,34,13.441176470588236,5.588235294117647
Werder Bremen,451,140,146,9,125,49,49.9688872204,31.042128603104214,10.864745011086473,35.0,0.11079575880354767,34,13.264705882352942,4.117647058823529
Augsburg,439,150,142,12,110,40,41.0139076493,34.16856492027335,9.111617312072893,26.666666666666668,0.09342575774328019,34,12.911764705882353,4.411764705882353
Ingolstadt,425,124,153,3,109,33,39.9611428105,29.176470588235293,7.764705882352942,26.61290322580645,0.09402621837764706,34,12.5,3.6470588235294117
FC Köln,404,155,129,5,78,38,41.4433116557,38.366336633663366,9.405940594059405,24.516129032258064,0.10258245459331683,34,11.882352941176471,4.5588235294117645
Hoffenheim,382,137,119,9,96,39,41.2047417372,35.86387434554974,10.209424083769633,28.467153284671532,0.1078658160659686,34,11.235294117647058,4.029411764705882
FSV Mainz 05,381,146,122,11,77,46,44.6510712279,38.320209973753286,12.073490813648293,31.506849315068493,0.11719441267165354,34,11.205882352941176,4.294117647058823
Hannover 96,379,125,114,9,102,30,31.6425541316,32.98153034300791,7.9155672823219,24.0,0.08348958873773087,34,11.147058823529411,3.676470588235294
Hamburger SV,375,130,131,3,85,37,37.7301255119,34.66666666666667,9.866666666666667,28.46153846153846,0.10061366803173333,34,11.029411764705882,3.823529411764706
Eintracht Frankfurt,364,128,110,4,94,32,33.6446402765,35.16483516483517,8.791208791208792,25.0,0.09243033042994506,34,10.705882352941176,3.764705882352941
Darmstadt 98,347,114,123,12,64,38,36.5811589458,32.85302593659942,10.951008645533141,33.33333333333333,0.10542120733659942,34,10.205882352941176,3.3529411764705883
Hertha Berlin,330,124,91,6,83,41,36.3240973433,37.57575757575757,12.424242424242424,33.064516129032256,0.11007302225242423,34,9.705882352941176,3.6470588235294117
