team,total_shots,onTarget,offTarget,post,blocked,goals,xG_total,onTarget_percentage%,Shot_to_goal_ratio,Shot_onTarget_to_goal_ratio,xG/shot,MP,Sh/90,SoT/90
Napoli,664,244,239,11,147,78,64.6306677662,36.74698795180723,11.74698795180723,31.967213114754102,0.09733534302138555,38,17.473684210526315,6.421052631578948
Juventus,608,212,210,14,133,72,61.6795639639,34.868421052631575,11.842105263157894,33.9622641509434,0.10144665125641447,38,16.0,5.578947368421052
AS Roma,592,213,191,13,135,83,61.9490562535,35.97972972972973,14.020270270270272,38.967136150234744,0.10464367610388513,38,15.578947368421053,5.605263157894737
Fiorentina,582,179,200,13,157,58,53.8283523495,30.756013745704468,9.965635738831615,32.402234636871505,0.0924885779201031,38,15.31578947368421,4.7105263157894735
AC Milan,565,180,189,10,150,49,53.6957063618,31.858407079646017,8.672566371681416,27.22222222222222,0.0950366484279646,38,14.868421052631579,4.7368421052631575
Inter Milan,530,163,167,7,150,49,51.3645296464,30.754716981132074,9.245283018867925,30.061349693251532,0.09691420688,38,13.947368421052632,4.2894736842105265
Lazio,520,145,197,9,138,52,50.3632405512,27.884615384615387,10.0,35.86206896551724,0.09685238567538462,38,13.68421052631579,3.8157894736842106
Sassuolo,495,152,168,5,142,48,44.8564333613,30.707070707070706,9.696969696969697,31.57894736842105,0.09061905729555556,38,13.026315789473685,4.0
Frosinone,492,131,187,11,126,34,31.4776449871,26.6260162601626,6.910569105691057,25.954198473282442,0.06397895322581301,38,12.947368421052632,3.4473684210526314
Empoli,489,146,176,6,139,39,36.9095707227,29.85685071574642,7.975460122699387,26.71232876712329,0.07547969472944786,38,12.868421052631579,3.8421052631578947
Torino,478,178,157,10,110,49,48.9721444665,37.238493723849366,10.251046025104603,27.52808988764045,0.10245218507635982,38,12.578947368421053,4.684210526315789
Genoa,473,154,170,5,121,44,42.8622374334,32.55813953488372,9.30232558139535,28.57142857142857,0.09061783812558138,38,12.447368421052632,4.052631578947368
Atalanta,472,143,170,3,113,38,42.3618460721,30.29661016949153,8.050847457627118,26.573426573426573,0.08974967388156779,38,12.421052631578947,3.763157894736842
Hellas Verona,469,143,160,7,126,34,42.9453558179,30.49040511727079,7.249466950959488,23.776223776223777,0.09156792285266525,38,12.342105263157896,3.763157894736842
Udinese,454,147,172,9,96,34,45.6571341632,32.378854625550666,7.488986784140969,23.12925170068027,0.10056637480881057,38,11.947368421052632,3.8684210526315788
Sampdoria,439,154,144,8,102,45,40.3998898589,35.079726651480634,10.250569476082005,29.22077922077922,0.09202708396104785,38,11.552631578947368,4.052631578947368
Carpi,434,132,152,8,106,33,41.0471415979,30.414746543778804,7.603686635944701,25.0,0.09457866727626728,38,11.421052631578947,3.473684210526316
Chievo,431,133,157,5,109,42,37.9047422636,30.8584686774942,9.744779582366588,31.57894736842105,0.08794603773457077,38,11.342105263157896,3.5
Palermo,416,121,144,9,111,37,35.5276707092,29.086538461538463,8.89423076923077,30.57851239669421,0.08540305458942309,38,10.947368421052632,3.1842105263157894
Bologna,395,114,125,8,116,33,32.3463905895,28.860759493670884,8.354430379746836,28.947368421052634,0.08188959642911392,38,10.394736842105264,3.0
