team,total_shots,onTarget,offTarget,post,blocked,goals,xG_total,onTarget_percentage%,Shot_to_goal_ratio,Shot_onTarget_to_goal_ratio,xG/shot,MP,Sh/90,SoT/90
Real Madrid,717,287,226,12,151,108,80.7949126904,40.0278940027894,15.062761506276152,37.63066202090592,0.11268467599776848,38,18.86842105263158,7.552631578947368
Barcelona,604,261,184,22,118,109,91.4336182236,43.211920529801326,18.046357615894042,41.7624521072797,0.1513801626218543,38,15.894736842105264,6.868421052631579
Rayo Vallecano,501,178,162,11,114,52,50.3925160458,35.528942115768466,10.379241516966067,29.213483146067414,0.10058386436287425,38,13.18421052631579,4.684210526315789
Atlético Madrid,483,164,163,16,105,62,52.972622673400004,33.95445134575569,12.836438923395447,37.80487804878049,0.10967416702567288,38,12.710526315789474,4.315789473684211
Sevilla,472,183,158,5,93,50,60.8885334804,38.771186440677965,10.59322033898305,27.322404371584703,0.12900113025508475,38,12.421052631578947,4.815789473684211
Real Sociedad,466,159,154,10,112,44,46.0921157462,34.12017167381974,9.44206008583691,27.67295597484277,0.09891011962703863,38,12.263157894736842,4.184210526315789
Athletic Club,465,167,154,13,98,57,50.270193483599996,35.913978494623656,12.258064516129032,34.13173652694611,0.10810794297548386,38,12.236842105263158,4.394736842105263
RC Deportivo La Coruña,457,155,161,12,99,41,41.4166396847,33.91684901531728,8.971553610503284,26.451612903225808,0.0906272203166302,38,12.026315789473685,4.078947368421052
Málaga,456,163,157,3,102,37,43.1806151174,35.74561403508772,8.114035087719298,22.699386503067483,0.09469433139780702,38,12.0,4.2894736842105265
Celta Vigo,446,153,149,16,107,51,50.1792051271,34.30493273542601,11.434977578475337,33.33333333333333,0.11250942853609865,38,11.736842105263158,4.026315789473684
Levante UD,443,144,147,9,102,36,36.7202921743,32.50564334085779,8.126410835214447,25.0,0.08289005005485327,38,11.657894736842104,3.789473684210526
Getafe,436,146,148,10,102,36,39.4196258417,33.48623853211009,8.256880733944955,24.65753424657534,0.0904119858754587,38,11.473684210526315,3.8421052631578947
Granada,434,132,145,10,113,45,39.8636810976,30.414746543778804,10.368663594470046,34.090909090909086,0.0918517997640553,38,11.421052631578947,3.473684210526316
Eibar,424,152,111,10,111,48,50.1885986266,35.84905660377358,11.320754716981133,31.57894736842105,0.11836933638349056,38,11.157894736842104,4.0
Las Palmas,423,161,141,6,84,42,36.892301087199996,38.061465721040186,9.929078014184398,26.08695652173913,0.08721584181371157,38,11.131578947368421,4.2368421052631575
Valencia,410,138,132,6,109,43,46.5883402519,33.65853658536586,10.487804878048781,31.15942028985507,0.11363009817536586,38,10.789473684210526,3.6315789473684212
Real Betis,405,127,130,6,103,34,39.8616292637,31.35802469135803,8.395061728395062,26.77165354330709,0.09842377595975309,38,10.657894736842104,3.3421052631578947
Espanyol,399,146,116,11,98,38,44.5617739368,36.59147869674185,9.523809523809524,26.027397260273972,0.1116836439518797,38,10.5,3.8421052631578947
Sporting Gijón,380,118,123,9,91,39,40.9856688272,31.05263157894737,10.263157894736842,33.05084745762712,0.10785702322947369,38,10.0,3.1052631578947367
Villarreal,347,129,120,12,69,42,37.0719174155,37.17579250720461,12.103746397694524,32.55813953488372,0.10683549687463978,38,9.131578947368421,3.3947368421052633
