index,player,recoveries,duels,duels_won,fouls_committed,shot_blocked,clearances,pressure,interceptions,team,MP,competition
0,Aaron Hunt,103,79,19,32,42,9,359,7,Hamburger SV,23,Germany - 1. Bundesliga
1,Adam Hloušek,8,17,5,7,11,30,52,3,VfB Stuttgart,7,Germany - 1. Bundesliga
2,Adelino André Vieira Freitas,130,88,31,16,53,29,296,29,Wolfsburg,26,Germany - 1. Bundesliga
3,Admir Mehmedi,73,71,14,32,34,8,315,3,Bayer Leverkusen,28,Germany - 1. Bundesliga
4,Adnan Januzaj,6,4,1,7,3,0,37,1,Borussia Dortmund,6,Germany - 1. Bundesliga
5,Albian Afrim Ajeti,2,2,1,2,0,0,2,0,Augsburg,1,Germany - 1. Bundesliga
6,Albin Ekdal,58,52,14,31,24,32,230,20,Hamburger SV,14,Germany - 1. Bundesliga
7,Alejandro Gálvez Jimena,52,54,14,25,20,61,225,32,Werder Bremen,21,Germany - 1. Bundesliga
8,Aleksandar Ignjovski,76,71,22,20,31,39,322,24,Eintracht Frankfurt,18,Germany - 1. Bundesliga
9,Alessandro Schöpf,27,27,6,8,9,9,113,4,Schalke 04,13,Germany - 1. Bundesliga
10,Alexander Baumjohann,36,15,7,2,6,0,93,0,Hertha Berlin,24,Germany - 1. Bundesliga
11,Alexander Esswein,71,69,17,37,38,9,406,17,Augsburg,29,Germany - 1. Bundesliga
12,Alexander Hack,23,26,6,5,15,48,72,17,FSV Mainz 05,7,Germany - 1. Bundesliga
13,Alexander Manninger,4,1,0,0,0,0,0,0,Augsburg,2,Germany - 1. Bundesliga
14,Alexander Meier,38,68,5,17,17,35,232,9,Eintracht Frankfurt,19,Germany - 1. Bundesliga
15,Alexander Milosevic,23,41,7,14,20,44,93,18,Hannover 96,10,Germany - 1. Bundesliga
16,Alexandru Iulian Maxim,53,42,11,20,17,4,311,7,VfB Stuttgart,25,Germany - 1. Bundesliga
17,Alfredo Morales,88,106,34,55,42,36,428,14,Ingolstadt,24,Germany - 1. Bundesliga
18,Alfreð Finnbogason,39,63,8,25,22,11,287,8,Augsburg,14,Germany - 1. Bundesliga
19,Allan Saint-Maximin,32,15,5,4,4,1,93,1,Hannover 96,16,Germany - 1. Bundesliga
20,Almog Cohen,31,60,18,21,15,18,213,14,Ingolstadt,20,Germany - 1. Bundesliga
21,Andre Hoffmann,34,26,11,9,11,20,131,8,Hannover 96,8,Germany - 1. Bundesliga
