index,player,recoveries,duels,duels_won,fouls_committed,shot_blocked,clearances,pressure,interceptions,team,MP,competition
0,Aaron Mattia Tabacchi,1,0,0,0,0,0,4,0,Bologna,1,Italy - Serie A
1,Abdelhamid El Kaoutari,47,27,12,3,18,23,127,10,Palermo,7,Italy - Serie A
2,Abdoulay Konko,105,73,23,38,49,51,339,28,Lazio,18,Italy - Serie A
3,Accursio Bentivegna,1,0,0,1,0,0,2,0,Palermo,1,Italy - Serie A
4,Achraf Lazaar,213,100,39,40,88,65,457,30,Palermo,30,Italy - Serie A
5,Adam Masina,155,113,41,36,105,106,498,39,Bologna,33,Italy - Serie A
6,Adem Ljajić,68,23,5,7,30,9,207,5,Inter Milan,26,Italy - Serie A
7,Adriano Russo,13,44,19,9,32,80,148,4,Frosinone,10,Italy - Serie A
8,Afriyie Acquah,138,61,14,48,45,18,342,16,Torino,29,Italy - Serie A
9,Albano Benjamín Bizzarri,179,0,0,0,0,0,5,0,Chievo,35,Italy - Serie A
10,Alberto Brignoli,5,0,0,0,0,0,0,0,Sampdoria,1,Italy - Serie A
11,Alberto Facundo Costa,94,38,11,31,14,19,291,16,Fiorentina,19,Italy - Serie A
12,Alberto Gilardino,69,162,3,48,31,17,290,1,Palermo,33,Italy - Serie A
13,Alberto Grassi,61,45,9,28,21,23,217,21,Atalanta,13,Italy - Serie A
14,Alberto Paloschi,50,78,8,34,24,7,354,3,Chievo,21,Italy - Serie A
15,Alberto Pelagotti,28,0,0,0,0,0,0,0,Empoli,6,Italy - Serie A
16,Aleandro Rosi,121,73,23,66,58,97,377,27,Frosinone,27,Italy - Serie A
17,Alejandro Darío Gómez,167,73,26,34,42,8,441,35,Atalanta,34,Italy - Serie A
18,Aleksandar Tonev,51,43,9,14,13,9,202,7,Frosinone,22,Italy - Serie A
19,Aleksandar Trajkovski,86,51,10,38,21,5,417,9,Palermo,32,Italy - Serie A
20,Alessandro Diamanti,59,30,7,22,11,3,162,2,Atalanta,16,Italy - Serie A
21,Alessandro Florenzi,127,94,27,25,84,66,440,62,AS Roma,33,Italy - Serie A
22,Alessandro Frara,69,41,8,15,46,25,250,7,Frosinone,20,Italy - Serie A
23,Alessandro Gamberini,62,60,13,13,62,132,189,21,Chievo,22,Italy - Serie A
24,Alessandro Gazzi,50,44,9,30,27,35,146,31,Torino,15,Italy - Serie A
25,Alessandro Longhi,15,11,2,4,5,13,29,1,Sassuolo,6,Italy - Serie A
26,Alessandro Matri,19,39,1,17,9,7,93,2,Lazio,19,Italy - Serie A
27,Alessandro Piu,7,12,0,2,1,1,85,0,Empoli,10,Italy - Serie A
28,Alessio Cerci,60,46,5,22,20,2,250,2,AC Milan,24,Italy - Serie A
29,Alessio Romagnoli,117,119,26,51,64,168,350,39,AC Milan,34,Italy - Serie A
30,Alex Ferrari,68,77,31,29,55,49,312,37,Bologna,21,Italy - Serie A
31,Alex Nicolao Telles,96,69,22,30,41,49,225,35,Inter Milan,21,Italy - Serie A
32,Alex Rodrigo Dias da Costa,71,89,29,34,42,151,252,33,AC Milan,25,Italy - Serie A
33,Alex Sandro Lobo Silva,101,58,20,32,31,43,252,35,Juventus,22,Italy - Serie A
34,Alexander Farnerud,6,4,0,2,1,0,16,0,Torino,5,Italy - Serie A
35,Alexander Merkel,1,7,4,3,1,0,31,1,Udinese,1,Italy - Serie A
36,Ali Adnan Kadhim Al Tameemi,103,95,48,39,63,59,347,31,Udinese,28,Italy - Serie A
37,Aljaž Struna,71,72,25,45,55,52,336,15,Palermo,22,Italy - Serie A
38,Allan Marques Loureiro,171,138,76,57,83,34,849,19,Napoli,35,Italy - Serie A
39,Amadou Diawara,202,84,44,55,43,52,683,60,Bologna,34,Italy - Serie A
40,Anderson Hernanes de Carvalho Andrade,59,38,13,27,16,13,147,15,Juventus,16,Italy - Serie A
41,Andrea Barzagli,130,64,21,8,47,99,239,27,Juventus,31,Italy - Serie A
42,Andrea Belotti,108,153,31,69,47,10,563,11,Torino,35,Italy - Serie A
43,Andrea Bertolacci,130,90,40,45,50,17,499,17,AC Milan,27,Italy - Serie A
44,Andrea Coda,4,7,2,2,2,9,18,2,Sampdoria,4,Italy - Serie A
45,Andrea Consigli,192,0,0,2,1,0,2,0,Sassuolo,37,Italy - Serie A
46,Andrea Conti,51,44,10,13,19,29,144,25,Atalanta,14,Italy - Serie A
47,Andrea Costa,87,70,10,21,55,126,114,33,Empoli,24,Italy - Serie A
48,Andrea Lazzari,25,19,7,9,8,0,86,1,Carpi,8,Italy - Serie A
49,Andrea Masiello,112,64,21,29,59,116,305,47,Atalanta,29,Italy - Serie A
50,Andrea Poli,33,22,7,12,25,8,172,12,AC Milan,18,Italy - Serie A
51,Andrea Ranocchia,45,45,12,24,35,78,148,19,Inter Milan,23,Italy - Serie A
52,Andrea Rispoli,87,39,12,21,34,36,178,25,Palermo,22,Italy - Serie A
53,Andrea Seculin,16,0,0,0,0,0,0,0,Chievo,3,Italy - Serie A
54,Andrés Fabián Ponce Núñez,1,3,0,0,1,1,2,0,Sampdoria,1,Italy - Serie A
55,Angelo Esmael da Costa Júnior,20,0,0,1,0,0,1,0,Bologna,5,Italy - Serie A
56,Angelo Palombo,21,5,2,0,11,8,72,7,Sampdoria,7,Italy - Serie A
57,Ante Rebić,49,24,11,27,19,2,185,10,Hellas Verona,14,Italy - Serie A
58,Anthony Mounier,77,112,20,41,51,10,528,11,Bologna,30,Italy - Serie A
59,Anton Ciprian Tătărușanu,149,0,0,0,0,0,6,0,Fiorentina,37,Italy - Serie A
60,Antonino La Gumina,1,6,0,1,1,0,12,3,Palermo,3,Italy - Serie A
61,Antonio Candreva,124,22,9,13,34,10,274,15,Lazio,30,Italy - Serie A
62,Antonio Cassano,57,27,4,10,9,2,145,2,Sampdoria,24,Italy - Serie A
63,Antonio Di Gaudio,69,48,7,16,23,15,314,8,Carpi,29,Italy - Serie A
64,Antonio Di Natale,25,17,3,5,10,2,118,2,Udinese,23,Italy - Serie A
65,Antonio Floro Flores,50,76,12,15,20,9,208,6,Sassuolo,28,Italy - Serie A
66,Antonio Mirante,189,1,0,1,1,1,1,0,Bologna,33,Italy - Serie A
67,Antonio Nocerino,2,1,0,1,2,1,22,0,AC Milan,2,Italy - Serie A
68,Antonio Rüdiger,130,91,24,44,63,118,334,21,AS Roma,30,Italy - Serie A
69,Archimede Morleo,19,22,3,5,11,18,63,8,Bologna,5,Italy - Serie A
70,Arlind Afrim Ajeti,31,43,11,21,41,110,137,20,Frosinone,16,Italy - Serie A
71,Armando Izzo,137,122,50,49,74,147,417,74,Genoa,33,Italy - Serie A
72,Artur Ioniţă,125,158,62,68,67,32,853,31,Hellas Verona,31,Italy - Serie A
73,Assane Demoya Gnoukouri,3,1,1,1,2,1,14,1,Inter Milan,2,Italy - Serie A
74,Assane Dioussé El Hadji,73,22,6,25,16,15,210,6,Empoli,15,Italy - Serie A
75,Berat Djimsiti,14,9,2,2,6,19,23,5,Atalanta,3,Italy - Serie A
76,Blerim Džemaili,94,80,30,36,50,29,458,23,Genoa,27,Italy - Serie A
77,Boris Radunović,5,0,0,0,0,0,0,0,Atalanta,1,Italy - Serie A
78,Borja Valero Iglesias,178,90,35,36,52,17,598,19,Fiorentina,37,Italy - Serie A
79,Boukary Dramé,102,68,22,24,75,57,297,35,Atalanta,25,Italy - Serie A
80,Boško Janković,23,51,6,22,14,2,135,4,Hellas Verona,15,Italy - Serie A
81,Boštjan Cesar,100,92,24,49,62,191,337,36,Chievo,31,Italy - Serie A
82,Bruno Miguel Borges Fernandes,136,87,21,27,58,27,446,34,Udinese,31,Italy - Serie A
83,Bruno da Silva Peres,141,85,40,27,42,33,455,32,Torino,31,Italy - Serie A
84,Bryan Cristante,13,7,2,2,1,2,28,1,Palermo,4,Italy - Serie A
85,Carlos Arturo Bacca Ahumada,98,113,5,33,40,25,471,6,AC Milan,38,Italy - Serie A
86,Carlos Emilio Carmona Tello,19,28,13,15,12,6,192,4,Atalanta,8,Italy - Serie A
87,Carlos Joaquín Correa,76,50,9,18,15,8,332,16,Sampdoria,25,Italy - Serie A
88,Carlos Mario Carbonero Mancilla,66,60,29,31,35,13,293,12,Sampdoria,14,Italy - Serie A
89,Cesare Bovo,70,52,18,35,32,77,233,29,Torino,21,Italy - Serie A
90,Christian Abbiati,3,0,0,0,0,0,0,0,AC Milan,1,Italy - Serie A
91,Christian Maggio,14,24,7,7,9,11,81,10,Napoli,8,Italy - Serie A
92,Ciro Immobile,46,27,6,21,11,3,180,2,Torino,14,Italy - Serie A
93,Claud Adjapong,1,3,0,1,1,1,3,0,Sassuolo,2,Italy - Serie A
