index,player,total_goals_against,penalty_goals_against,penalty_saves,non_penalty_goals_against,penalty_onTarget_attempts,penalty_saves_percentage%,shot_onTarget_saved,save%,save_both_hands,save_chest,save_head,save_left_foot,save_left_hand,right_foot,save_right_hand,team,MP,competition
0,Adam Federici,15,1,0,14,1,0.0,13,48.148148148148145,8,0,0,1,3,0,1,AFC Bournemouth,6,England - Premier League
1,Adrián San Miguel del Castillo,37,5,2,32,7,28.57142857142857,98,75.38461538461539,61,4,1,6,6,8,12,West Ham United,32,England - Premier League
2,Alex McCarthy,7,1,0,6,1,0.0,33,84.61538461538461,23,3,0,1,0,2,4,Crystal Palace,7,England - Premier League
3,Artur Boruc,51,3,1,48,4,25.0,71,59.66386554621849,47,3,0,4,10,2,5,AFC Bournemouth,32,England - Premier League
4,Asmir Begović,24,2,0,22,2,0.0,59,72.8395061728395,43,2,0,4,5,1,4,Chelsea,17,England - Premier League
5,Ben Foster,16,1,0,15,1,0.0,46,75.40983606557377,33,3,1,1,3,3,2,West Bromwich Albion,15,England - Premier League
6,Bradley Guzan,55,2,0,53,2,0.0,86,61.87050359712231,57,4,1,1,10,4,9,Aston Villa,28,England - Premier League
7,Costel Fane Pantilimon,32,4,0,28,4,0.0,71,71.71717171717171,55,0,0,1,3,7,5,Sunderland,17,England - Premier League
8,Danny Ward,4,0,0,4,0,0.0,11,73.33333333333333,6,0,0,0,1,2,2,Liverpool,2,England - Premier League
9,Darren Randolph,12,1,0,11,1,0.0,13,54.166666666666664,9,0,0,0,0,1,3,West Ham United,6,England - Premier League
10,David Ospina Ramírez,5,0,0,5,0,0.0,17,77.27272727272727,13,0,0,0,1,0,3,Arsenal,4,England - Premier League
11,David de Gea Quintana,31,2,0,29,2,0.0,82,73.87387387387388,44,1,0,6,2,12,17,Manchester United,34,England - Premier League
12,Declan Rudd,22,4,0,18,4,0.0,31,63.26530612244898,19,2,0,3,4,1,2,Norwich City,11,England - Premier League
13,Fraser Forster,17,0,0,17,0,0.0,54,76.05633802816901,37,1,0,3,3,5,5,Southampton,18,England - Premier League
14,Giedrius Arlauskis,1,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0,0,Watford,1,England - Premier League
15,Glyn Oliver Myhill,29,4,0,25,4,0.0,65,72.22222222222221,50,0,0,3,3,3,6,West Bromwich Albion,23,England - Premier League
16,Heurelho da Silva Gomes,47,4,3,43,7,42.857142857142854,123,74.09638554216868,81,3,0,4,14,3,18,Watford,38,England - Premier League
17,Hugo Lloris,32,2,0,30,2,0.0,86,74.13793103448276,67,2,0,2,8,1,6,Tottenham Hotspur,37,England - Premier League
18,Jack Butland,37,3,0,34,3,0.0,98,74.24242424242425,69,4,0,4,5,7,9,Stoke City,31,England - Premier League
19,Jakob Haugaard,11,1,0,10,1,0.0,12,54.54545454545454,12,0,0,0,0,0,0,Stoke City,5,England - Premier League
20,Joe Hart,34,1,0,33,1,0.0,73,68.86792452830188,42,4,0,3,9,7,8,Manchester City,35,England - Premier League
21,Joel Robles Blázquez,19,1,0,18,1,0.0,47,72.3076923076923,34,0,0,4,4,5,0,Everton,13,England - Premier League
22,John Ruddy,44,5,0,39,5,0.0,69,63.888888888888886,45,2,0,2,5,5,10,Norwich City,27,England - Premier League
23,Jordan Pickford,6,2,0,4,2,0.0,11,73.33333333333333,7,1,0,0,3,0,0,Sunderland,2,England - Premier League
24,Julián Speroni,5,1,0,4,1,0.0,10,71.42857142857143,6,1,0,1,1,0,1,Crystal Palace,2,England - Premier League
25,Karl Darlow,11,0,1,11,1,100.0,22,66.66666666666666,16,0,0,1,1,1,3,Newcastle United,9,England - Premier League
26,Kasper Schmeichel,36,4,0,32,4,0.0,100,75.75757575757575,74,1,1,5,5,4,10,Leicester City,38,England - Premier League
27,Kelvin Davis,2,0,0,2,0,0.0,5,71.42857142857143,3,0,0,0,0,0,2,Southampton,1,England - Premier League
28,Kristoffer Nordfeldt,1,0,0,1,0,0.0,4,80.0,2,0,0,2,0,0,0,Swansea City,1,England - Premier League
29,Maarten Stekelenburg,19,1,0,18,1,0.0,33,64.70588235294117,29,1,0,1,0,2,0,Southampton,17,England - Premier League
30,Mark Bunn,17,1,1,16,2,50.0,22,57.89473684210527,16,0,0,0,2,1,3,Aston Villa,10,England - Premier League
31,Paulo Dino Gazzaniga,3,0,0,3,0,0.0,8,72.72727272727273,6,0,0,0,0,0,2,Southampton,2,England - Premier League
32,Petr Čech,28,1,0,27,1,0.0,100,78.74015748031496,82,0,0,5,2,3,8,Arsenal,34,England - Premier League
33,Rob Elliot,36,4,0,32,4,0.0,57,64.04494382022472,31,1,1,5,4,3,12,Newcastle United,21,England - Premier League
34,Ryan Allsop,1,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0,0,AFC Bournemouth,1,England - Premier League
35,Sergio Germán Romero,2,0,0,2,0,0.0,9,81.81818181818183,6,0,0,0,0,1,2,Manchester United,4,England - Premier League
36,Shay Given,7,1,0,6,1,0.0,7,53.84615384615385,5,0,0,1,0,1,0,Stoke City,3,England - Premier League
37,Simon Mignolet,41,2,1,39,3,33.33333333333333,69,63.888888888888886,50,0,0,3,4,2,10,Liverpool,34,England - Premier League
38,Thibaut Courtois,27,1,1,26,2,50.0,65,71.42857142857143,50,2,0,1,4,5,3,Chelsea,23,England - Premier League
39,Tim Howard,35,4,0,31,4,0.0,87,73.72881355932203,55,1,1,7,5,10,8,Everton,25,England - Premier League
40,Timothy Michael Krul,16,0,0,16,0,0.0,35,68.62745098039215,24,0,0,2,3,2,4,Newcastle United,8,England - Premier League
41,Vito Mannone,23,1,0,22,1,0.0,73,76.84210526315789,51,1,1,3,4,1,12,Sunderland,19,England - Premier League
42,Wayne Hennessey,35,2,0,33,2,0.0,81,71.05263157894737,64,2,0,3,2,4,6,Crystal Palace,29,England - Premier League
