index,player,total_passes,total_completed,total_uncompleted,total_percentage%,f3_passes,f3_completed,f3_uncompleted,f3_percentage%,short_passes,short_completed,short_uncompleted,short_percentage%,long_passes,long_completed,long_uncompleted,long_percentage%,average_pass_length,crosses,crosses_completed,crosses_uncompleted,crosses_percentage%,total_shot_assists,total_goal_assists,dribbles,dribbles_completed,dribbles_f3,dribbles_f3_completed,fouls_won,team,MP,competition
0,Aaron Hunt,870,625.0,245,71.83908045977012,98,57,41,58.16326530612245,509,427,82,83.88998035363457,101,42,59,41.584158415841586,18.020298302589353,30,8,22,26.666666666666668,35,2,37,25,20,13,47,Hamburger SV,23,Germany - 1. Bundesliga
1,Adam Hloušek,206,157.0,49,76.2135922330097,39,17,22,43.58974358974359,86,85,1,98.83720930232558,52,23,29,44.230769230769226,24.761701529860197,1,0,1,0.0,0,0,1,1,0,0,5,VfB Stuttgart,7,Germany - 1. Bundesliga
2,Adelino André Vieira Freitas,1304,977.0,327,74.92331288343557,182,120,62,65.93406593406593,687,607,80,88.35516739446871,219,106,113,48.401826484018265,19.91045528498098,72,17,55,23.61111111111111,31,5,37,24,13,6,59,Wolfsburg,26,Germany - 1. Bundesliga
3,Admir Mehmedi,564,424.0,140,75.177304964539,50,29,21,57.99999999999999,397,332,65,83.6272040302267,39,14,25,35.8974358974359,14.449669407852127,25,12,13,48.0,27,5,44,32,25,19,22,Bayer Leverkusen,28,Germany - 1. Bundesliga
4,Adnan Januzaj,57,42.0,15,73.68421052631578,4,4,0,100.0,37,31,6,83.78378378378379,9,4,5,44.44444444444444,17.77773959143579,4,1,3,25.0,5,2,7,5,6,5,5,Borussia Dortmund,6,Germany - 1. Bundesliga
5,Ahmet Metin Arslan,1,1.0,0,100.0,1,1,0,100.0,0,0,0,0.0,0,0,0,0.0,16.3165974912,0,0,0,0.0,0,0,0,0,0,0,0,Hamburger SV,1,Germany - 1. Bundesliga
6,Albian Afrim Ajeti,8,6.0,2,75.0,0,0,0,0.0,5,4,1,80.0,0,0,0,0.0,11.41503544395,0,0,0,0.0,0,0,0,0,0,0,0,Augsburg,1,Germany - 1. Bundesliga
7,Albin Ekdal,591,460.0,131,77.834179357022,85,51,34,60.0,365,336,29,92.05479452054794,37,14,23,37.83783783783784,17.08649624379655,1,0,1,0.0,5,0,9,4,2,2,39,Hamburger SV,14,Germany - 1. Bundesliga
8,Alejandro Gálvez Jimena,513,383.0,130,74.6588693957115,92,43,49,46.73913043478261,202,189,13,93.56435643564357,117,57,60,48.717948717948715,25.19909048947228,2,1,1,50.0,0,0,3,2,0,0,7,Werder Bremen,21,Germany - 1. Bundesliga
9,Aleksandar Ignjovski,568,379.0,189,66.72535211267606,64,34,30,53.125,281,231,50,82.20640569395017,54,13,41,24.074074074074073,17.295784855296464,34,10,24,29.411764705882355,7,1,34,15,16,7,29,Eintracht Frankfurt,18,Germany - 1. Bundesliga
10,Alessandro Schöpf,176,128.0,48,72.72727272727273,21,11,10,52.38095238095239,115,96,19,83.47826086956522,11,7,4,63.63636363636363,14.363454571576364,9,3,6,33.33333333333333,7,1,24,8,7,1,12,Schalke 04,13,Germany - 1. Bundesliga
11,Alexander Baumjohann,230,162.0,68,70.43478260869566,25,14,11,56.00000000000001,171,137,34,80.11695906432749,4,0,4,0.0,13.96958796663339,5,2,3,40.0,13,2,23,14,15,7,18,Hertha Berlin,24,Germany - 1. Bundesliga
12,Alexander Esswein,568,377.0,191,66.37323943661971,33,17,16,51.515151515151516,334,268,66,80.23952095808383,50,15,35,30.0,16.051919969920565,66,18,48,27.27272727272727,29,1,58,30,34,18,37,Augsburg,29,Germany - 1. Bundesliga
13,Alexander Hack,372,311.0,61,83.60215053763442,36,19,17,52.77777777777778,202,188,14,93.06930693069307,55,26,29,47.27272727272727,22.82531980978839,0,0,0,0.0,0,0,7,6,0,0,4,FSV Mainz 05,7,Germany - 1. Bundesliga
14,Alexander Manninger,36,25.0,11,69.44444444444444,3,1,2,33.33333333333333,12,12,0,100.0,22,11,11,50.0,43.533647756,0,0,0,0.0,0,0,0,0,0,0,0,Augsburg,2,Germany - 1. Bundesliga
15,Alexander Meier,483,321.0,162,66.45962732919256,65,30,35,46.15384615384615,216,182,34,84.25925925925925,21,12,9,57.14285714285714,15.4306537117759,3,1,2,33.33333333333333,16,1,12,7,5,2,12,Eintracht Frankfurt,19,Germany - 1. Bundesliga
16,Alexander Milosevic,340,277.0,63,81.47058823529412,43,19,24,44.18604651162791,189,181,8,95.76719576719577,47,16,31,34.04255319148936,20.209896650484,0,0,0,0.0,0,0,0,0,0,0,4,Hannover 96,10,Germany - 1. Bundesliga
17,Alexandru Iulian Maxim,627,456.0,171,72.72727272727273,72,43,29,59.72222222222222,357,310,47,86.83473389355743,108,44,64,40.74074074074074,18.037280700021817,27,11,16,40.74074074074074,29,5,30,17,15,6,18,VfB Stuttgart,25,Germany - 1. Bundesliga
18,Alfredo Morales,526,303.0,223,57.60456273764258,100,41,59,41.0,218,174,44,79.81651376146789,63,15,48,23.809523809523807,17.295888003673003,21,3,18,14.285714285714285,9,1,42,21,22,8,54,Ingolstadt,24,Germany - 1. Bundesliga
19,Alfreð Finnbogason,292,203.0,89,69.52054794520548,19,7,12,36.84210526315789,158,119,39,75.31645569620254,8,3,5,37.5,13.472467796330136,6,0,6,0.0,12,1,23,11,20,8,12,Augsburg,14,Germany - 1. Bundesliga
20,Allan Saint-Maximin,137,87.0,50,63.503649635036496,12,3,9,25.0,91,69,22,75.82417582417582,8,4,4,50.0,14.815434405825986,7,3,4,42.857142857142854,4,0,30,18,15,7,9,Hannover 96,16,Germany - 1. Bundesliga
21,Almog Cohen,275,181.0,94,65.81818181818181,57,20,37,35.08771929824561,125,106,19,84.8,26,9,17,34.61538461538461,16.831163361089455,1,1,0,100.0,4,1,6,3,2,1,14,Ingolstadt,20,Germany - 1. Bundesliga
22,Andre Hoffmann,312,244.0,68,78.2051282051282,42,26,16,61.904761904761905,215,193,22,89.76744186046511,21,5,16,23.809523809523807,16.759294128323077,0,0,0,0.0,1,0,5,3,1,0,4,Hannover 96,8,Germany - 1. Bundesliga
23,Andreas Christensen,1807,1596.0,211,88.32318760376315,115,62,53,53.91304347826087,1218,1185,33,97.29064039408867,104,33,71,31.73076923076923,20.239556713884934,1,1,0,100.0,1,1,7,6,0,0,26,Borussia Mönchengladbach,31,Germany - 1. Bundesliga
24,Andreas Hirzel,21,11.0,10,52.38095238095239,4,1,3,25.0,3,3,0,100.0,17,7,10,41.17647058823529,45.83100461996572,0,0,0,0.0,0,0,0,0,0,0,0,Hamburger SV,1,Germany - 1. Bundesliga
25,Andrej Kramarić,336,253.0,83,75.29761904761905,28,19,9,67.85714285714286,230,202,28,87.82608695652175,24,12,12,50.0,14.983987357521428,15,6,9,40.0,7,2,32,26,21,17,15,Hoffenheim,15,Germany - 1. Bundesliga
26,André Hahn,267,153.0,114,57.30337078651685,25,11,14,44.0,131,101,30,77.09923664122137,18,3,15,16.666666666666664,13.927809119722246,12,1,11,8.333333333333332,5,0,12,3,9,3,18,Borussia Mönchengladbach,15,Germany - 1. Bundesliga
27,André Ramalho Silva,612,499.0,113,81.5359477124183,61,21,40,34.42622950819672,294,286,8,97.27891156462584,89,30,59,33.70786516853933,22.424659327555293,1,0,1,0.0,1,0,5,5,0,0,8,Bayer Leverkusen,19,Germany - 1. Bundesliga
28,André Schürrle,732,570.0,162,77.8688524590164,36,23,13,63.888888888888886,516,451,65,87.40310077519379,32,12,20,37.5,14.604650632535408,38,10,28,26.31578947368421,18,3,74,34,41,20,31,Wolfsburg,29,Germany - 1. Bundesliga
29,Anthony Modeste,618,374.0,244,60.517799352750814,117,46,71,39.31623931623932,261,215,46,82.37547892720306,20,8,12,40.0,14.668934162002717,8,1,7,12.5,15,3,40,13,18,2,79,FC Köln,34,Germany - 1. Bundesliga
30,Anthony Ujah,593,359.0,234,60.53962900505903,85,40,45,47.05882352941176,271,228,43,84.13284132841329,12,5,7,41.66666666666667,13.02775335666601,14,4,10,28.57142857142857,18,0,32,16,20,7,37,Werder Bremen,32,Germany - 1. Bundesliga
31,Arianit Ferati,46,36.0,10,78.26086956521739,10,6,4,60.0,30,28,2,93.33333333333333,5,3,2,60.0,15.24846451996174,2,1,1,50.0,3,1,4,2,0,0,0,VfB Stuttgart,3,Germany - 1. Bundesliga
32,Arjen Robben,620,495.0,125,79.83870967741935,36,24,12,66.66666666666666,419,371,48,88.54415274463007,41,20,21,48.78048780487805,15.670901299346712,26,9,17,34.61538461538461,24,1,34,19,24,13,15,Bayern Munich,15,Germany - 1. Bundesliga
33,Aron Jóhannsson,100,67.0,33,67.0,6,4,2,66.66666666666666,54,47,7,87.03703703703704,15,8,7,53.333333333333336,17.602431956762402,6,2,4,33.33333333333333,7,0,7,3,4,2,6,Werder Bremen,6,Germany - 1. Bundesliga
34,Artem Kravets,180,122.0,58,67.77777777777779,20,7,13,35.0,106,89,17,83.9622641509434,5,0,5,0.0,12.9919407997596,6,0,6,0.0,4,1,11,6,8,3,5,VfB Stuttgart,15,Germany - 1. Bundesliga
35,Artoms Rudņevs,163,100.0,63,61.34969325153374,24,10,14,41.66666666666667,72,58,14,80.55555555555556,6,1,5,16.666666666666664,14.108558737048345,7,2,5,28.57142857142857,4,1,10,3,6,2,5,Hamburger SV,11,Germany - 1. Bundesliga
36,Artur Sobiech,415,297.0,118,71.56626506024097,45,16,29,35.55555555555556,232,208,24,89.65517241379311,8,3,5,37.5,11.621555991791999,6,3,3,50.0,20,0,10,7,5,3,26,Hannover 96,25,Germany - 1. Bundesliga
37,Arturo Erasmo Vidal Pardo,2027,1822.0,205,89.88653182042428,211,174,37,82.46445497630332,1468,1392,76,94.82288828337875,148,96,52,64.86486486486487,18.00913937199487,21,9,12,42.857142857142854,42,5,15,9,7,6,38,Bayern Munich,30,Germany - 1. Bundesliga
38,Assani Lukimya-Mulongoti,380,266.0,114,70.0,76,32,44,42.10526315789473,166,151,15,90.96385542168674,98,39,59,39.795918367346935,25.551067102247366,0,0,0,0.0,1,0,1,0,0,0,8,Werder Bremen,12,Germany - 1. Bundesliga
39,Aytac Sulu,568,324.0,244,57.04225352112676,172,60,112,34.883720930232556,127,116,11,91.33858267716536,196,60,136,30.612244897959183,27.853183415914227,0,0,0,0.0,10,0,2,2,0,0,56,Darmstadt 98,33,Germany - 1. Bundesliga
40,Bas Dost,398,311.0,87,78.14070351758794,40,22,18,55.00000000000001,217,200,17,92.16589861751152,13,8,5,61.53846153846154,13.820514408253267,4,1,3,25.0,10,2,4,2,3,1,10,Wolfsburg,22,Germany - 1. Bundesliga
41,Bastian Oczipka,1656,1259.0,397,76.02657004830918,145,76,69,52.41379310344828,907,821,86,90.51819184123484,180,58,122,32.22222222222222,16.788075477243478,69,15,54,21.73913043478261,22,0,69,44,36,22,34,Eintracht Frankfurt,30,Germany - 1. Bundesliga
42,Benedikt Höwedes,534,457.0,77,85.58052434456928,68,46,22,67.64705882352942,345,330,15,95.65217391304348,42,20,22,47.61904761904761,19.57581785958472,5,3,2,60.0,5,0,0,0,0,0,8,Schalke 04,15,Germany - 1. Bundesliga
43,Benjamin Gorka,5,3.0,2,60.0,2,1,1,50.0,1,1,0,100.0,1,0,1,0.0,27.1595654928,0,0,0,0.0,0,0,0,0,0,0,0,Darmstadt 98,4,Germany - 1. Bundesliga
44,Benjamin Henrichs,237,169.0,68,71.30801687763713,41,19,22,46.34146341463415,102,88,14,86.27450980392157,23,5,18,21.73913043478261,17.975682523145316,0,0,0,0.0,2,1,2,2,1,1,11,Bayer Leverkusen,9,Germany - 1. Bundesliga
45,Benjamin Hübner,720,470.0,250,65.27777777777779,142,42,100,29.577464788732392,219,196,23,89.49771689497716,147,48,99,32.6530612244898,22.902242323693997,0,0,0,0.0,3,0,7,3,0,0,42,Ingolstadt,30,Germany - 1. Bundesliga
46,Bernd Leno,1092,707.0,385,64.74358974358975,203,57,146,28.078817733990146,417,415,2,99.52038369304557,596,221,375,37.080536912751676,41.35251309450527,0,0,0,0.0,2,0,0,0,0,0,3,Bayer Leverkusen,33,Germany - 1. Bundesliga
47,Borys Tashchy,52,33.0,19,63.46153846153846,6,3,3,50.0,29,23,6,79.3103448275862,0,0,0,0.0,12.087171500566154,1,0,1,0.0,1,0,2,0,2,0,4,VfB Stuttgart,9,Germany - 1. Bundesliga
48,Branimir Hrgota,39,33.0,6,84.61538461538461,1,1,0,100.0,29,25,4,86.20689655172413,0,0,0,0.0,11.726651950412307,0,0,0,0.0,0,0,6,5,5,5,4,Borussia Mönchengladbach,9,Germany - 1. Bundesliga
49,Bruno Henrique Pinto,77,53.0,24,68.83116883116884,6,2,4,33.33333333333333,43,36,7,83.72093023255815,2,1,1,50.0,15.093713288889349,6,3,3,50.0,3,1,12,5,9,3,11,Wolfsburg,7,Germany - 1. Bundesliga
50,Caiuby Francisco da Silva,771,493.0,278,63.94293125810635,112,57,55,50.89285714285714,347,288,59,82.9971181556196,48,15,33,31.25,15.405112185200311,30,9,21,30.0,33,4,75,45,37,19,39,Augsburg,26,Germany - 1. Bundesliga
51,Carlos Antonio Ascues Ávila,6,5.0,1,83.33333333333334,1,0,1,0.0,3,3,0,100.0,2,1,1,50.0,28.208708428799998,0,0,0,0.0,0,0,1,1,0,0,0,Wolfsburg,1,Germany - 1. Bundesliga
52,Carlos Armando Gruezo Arboleda,18,10.0,8,55.55555555555556,5,1,4,20.0,7,5,2,71.42857142857143,3,1,2,33.33333333333333,19.80316741924,0,0,0,0.0,0,0,0,0,0,0,0,VfB Stuttgart,2,Germany - 1. Bundesliga
53,Carlos Augusto Zambrano Ochandarte,920,767.0,153,83.36956521739131,91,48,43,52.74725274725275,560,528,32,94.28571428571428,99,35,64,35.35353535353536,20.67851362223207,0,0,0,0.0,1,0,13,12,0,0,62,Eintracht Frankfurt,24,Germany - 1. Bundesliga
54,Ceyhun Gülselam,423,308.0,115,72.81323877068559,83,43,40,51.80722891566265,218,195,23,89.44954128440367,56,26,30,46.42857142857143,19.502470383596595,4,3,1,75.0,6,1,12,8,4,2,18,Hannover 96,13,Germany - 1. Bundesliga
55,Charles Mariano Aránguiz Sandoval,224,165.0,59,73.66071428571429,25,16,9,64.0,117,100,17,85.47008547008546,40,22,18,55.00000000000001,19.491098659148573,5,1,4,20.0,4,1,2,2,0,0,14,Bayer Leverkusen,7,Germany - 1. Bundesliga
56,Charlison Benschop,74,52.0,22,70.27027027027027,8,3,5,37.5,35,30,5,85.71428571428571,1,0,1,0.0,13.787584980363244,2,0,2,0.0,1,0,0,0,0,0,2,Hannover 96,9,Germany - 1. Bundesliga
57,Christian Clemens,535,337.0,198,62.99065420560748,58,30,28,51.724137931034484,272,218,54,80.14705882352942,100,30,70,30.0,18.718081976929795,33,12,21,36.36363636363637,28,2,38,18,22,10,20,FSV Mainz 05,28,Germany - 1. Bundesliga
58,Christian Gentner,1354,993.0,361,73.33825701624815,229,135,94,58.951965065502186,730,653,77,89.45205479452055,138,56,82,40.57971014492754,17.614886106620208,33,5,28,15.151515151515152,25,2,28,20,12,8,63,VfB Stuttgart,29,Germany - 1. Bundesliga
59,Christian Mathenia,1067,431.0,636,40.393626991565135,515,167,348,32.42718446601941,41,39,2,95.1219512195122,995,368,627,36.984924623115575,59.141881885111154,0,0,0,0.0,2,0,0,0,0,0,4,Darmstadt 98,33,Germany - 1. Bundesliga
60,Christian Pulisic,190,143.0,47,75.26315789473685,9,8,1,88.88888888888889,143,123,20,86.01398601398601,10,2,8,20.0,13.448800836579789,19,5,14,26.31578947368421,7,0,19,7,12,3,10,Borussia Dortmund,9,Germany - 1. Bundesliga
61,Christian Schulz,996,821.0,175,82.429718875502,92,40,52,43.47826086956522,584,565,19,96.74657534246576,103,35,68,33.980582524271846,20.447789517503132,4,1,3,25.0,4,0,2,2,1,1,12,Hannover 96,25,Germany - 1. Bundesliga
62,Christian Träsch,1729,1363.0,366,78.8316946211683,230,142,88,61.73913043478261,908,848,60,93.3920704845815,234,92,142,39.31623931623932,19.54043791289344,82,23,59,28.04878048780488,24,1,43,23,19,5,32,Wolfsburg,29,Germany - 1. Bundesliga
63,Christoph Janker,150,124.0,26,82.66666666666667,11,5,6,45.45454545454545,84,81,3,96.42857142857143,14,6,8,42.857142857142854,21.1062494915568,0,0,0,0.0,0,0,1,0,0,0,7,Augsburg,11,Germany - 1. Bundesliga
64,Christoph Kramer,1558,1283.0,275,82.34916559691912,184,99,85,53.80434782608695,970,904,66,93.19587628865979,145,72,73,49.6551724137931,16.827704542195995,16,6,10,37.5,14,1,39,21,22,9,38,Bayer Leverkusen,28,Germany - 1. Bundesliga
65,Christoph Moritz,118,101.0,17,85.59322033898306,8,3,5,37.5,79,75,4,94.9367088607595,3,0,3,0.0,15.16634153967051,2,0,2,0.0,0,0,2,1,1,0,3,FSV Mainz 05,8,Germany - 1. Bundesliga
