index,player,total_passes,total_completed,total_uncompleted,total_percentage%,f3_passes,f3_completed,f3_uncompleted,f3_percentage%,short_passes,short_completed,short_uncompleted,short_percentage%,long_passes,long_completed,long_uncompleted,long_percentage%,average_pass_length,crosses,crosses_completed,crosses_uncompleted,crosses_percentage%,total_shot_assists,total_goal_assists,dribbles,dribbles_completed,dribbles_f3,dribbles_f3_completed,fouls_won,team,MP,competition
0,Aaron Mattia Tabacchi,9,6,3,66.66666666666666,0,0,0,0.0,4,4,0,100.0,1,1,0,100.0,21.567552191199997,3,0,3,0.0,1,0,0,0,0,0,0,Bologna,1,Italy - Serie A
1,Abdelhamid El Kaoutari,271,223,48,82.28782287822878,36,19,17,52.77777777777778,159,152,7,95.59748427672956,28,11,17,39.285714285714285,18.349814983007825,0,0,0,0.0,2,0,4,2,0,0,5,Palermo,7,Italy - Serie A
2,Abdoulay Konko,1065,817,248,76.71361502347418,147,84,63,57.14285714285714,596,543,53,91.10738255033557,111,35,76,31.53153153153153,16.383644109026704,33,7,26,21.21212121212121,7,0,32,21,17,11,10,Lazio,18,Italy - Serie A
3,Accursio Bentivegna,6,4,2,66.66666666666666,1,1,0,100.0,5,4,1,80.0,0,0,0,0.0,11.455161986759999,1,0,1,0.0,0,0,1,1,1,1,0,Palermo,1,Italy - Serie A
4,Achraf Lazaar,1357,911,446,67.13338246131173,214,119,95,55.60747663551402,637,550,87,86.34222919937206,225,64,161,28.444444444444443,18.661941987050493,92,19,73,20.652173913043477,17,1,80,44,28,12,40,Palermo,30,Italy - Serie A
5,Adam Masina,1570,1161,409,73.94904458598725,190,85,105,44.73684210526316,793,706,87,89.02900378310214,156,51,105,32.69230769230769,17.112954882419817,44,14,30,31.818181818181817,22,3,53,27,30,11,32,Bologna,33,Italy - Serie A
6,Adem Ljajić,906,749,157,82.6710816777042,73,52,21,71.23287671232876,666,605,61,90.84084084084084,65,23,42,35.38461538461539,14.93343216171576,35,11,24,31.428571428571427,51,3,55,29,34,14,22,Inter Milan,26,Italy - Serie A
7,Adriano Russo,229,175,54,76.41921397379913,22,7,15,31.818181818181817,106,102,4,96.22641509433963,43,17,26,39.53488372093023,21.459511635120002,2,1,1,50.0,5,0,0,0,0,0,4,Frosinone,10,Italy - Serie A
8,Afriyie Acquah,702,503,199,71.65242165242165,106,62,44,58.490566037735846,420,358,62,85.23809523809524,75,32,43,42.66666666666667,18.818305216234975,39,14,25,35.8974358974359,22,3,53,28,19,10,45,Torino,29,Italy - Serie A
9,Albano Benjamín Bizzarri,1099,595,504,54.14012738853503,144,28,116,19.444444444444446,194,194,0,100.0,739,251,488,33.96481732070365,44.77147070176466,0,0,0,0.0,0,0,2,2,0,0,4,Chievo,35,Italy - Serie A
10,Alberto Brignoli,44,19,25,43.18181818181818,10,1,9,10.0,9,9,0,100.0,32,7,25,21.875,46.76642742084545,0,0,0,0.0,0,0,0,0,0,0,1,Sampdoria,1,Italy - Serie A
11,Alberto Facundo Costa,932,727,205,78.00429184549357,159,89,70,55.9748427672956,552,514,38,93.11594202898551,155,60,95,38.70967741935484,20.95778037866678,19,3,16,15.789473684210526,17,0,11,9,2,2,14,Fiorentina,19,Italy - Serie A
12,Alberto Gilardino,539,402,137,74.58256029684601,50,22,28,44.0,305,271,34,88.85245901639345,8,4,4,50.0,10.709281402641617,8,4,4,50.0,20,1,24,9,12,4,45,Palermo,33,Italy - Serie A
13,Alberto Grassi,381,294,87,77.16535433070865,40,24,16,60.0,228,206,22,90.35087719298247,26,10,16,38.46153846153847,14.929916265600001,8,2,6,25.0,8,0,17,6,8,4,26,Atalanta,13,Italy - Serie A
14,Alberto Paloschi,382,243,139,63.61256544502618,39,14,25,35.8974358974359,214,172,42,80.37383177570094,14,5,9,35.714285714285715,13.200856844556817,5,1,4,20.0,9,2,26,11,13,6,23,Chievo,21,Italy - Serie A
15,Alberto Pelagotti,181,130,51,71.8232044198895,3,0,3,0.0,80,80,0,100.0,71,21,50,29.577464788732392,33.69198754488929,0,0,0,0.0,0,0,0,0,0,0,1,Empoli,6,Italy - Serie A
16,Aleandro Rosi,950,686,264,72.21052631578947,120,53,67,44.166666666666664,354,320,34,90.3954802259887,118,37,81,31.35593220338983,18.310035943971283,51,17,34,33.33333333333333,12,0,40,13,24,4,42,Frosinone,27,Italy - Serie A
17,Alejandro Darío Gómez,1414,961,453,67.96322489391797,132,79,53,59.84848484848485,817,704,113,86.16891064871481,227,69,158,30.396475770925107,17.72142263907678,135,36,99,26.666666666666668,62,7,126,74,62,40,90,Atalanta,34,Italy - Serie A
18,Alejandro Miguel Rodriguez,3,1,2,33.33333333333333,0,0,0,0.0,1,0,1,0.0,0,0,0,0.0,8.8444279296,0,0,0,0.0,0,0,0,0,0,0,0,Sampdoria,6,Italy - Serie A
19,Aleksandar Tonev,270,171,99,63.33333333333333,20,9,11,45.0,162,114,48,70.37037037037037,33,14,19,42.42424242424242,16.862183453450665,26,11,15,42.30769230769231,10,1,21,13,10,6,8,Frosinone,22,Italy - Serie A
20,Aleksandar Trajkovski,553,410,143,74.14104882459313,32,19,13,59.375,366,325,41,88.79781420765028,54,16,38,29.629629629629626,15.31268757447624,46,13,33,28.26086956521739,22,1,47,24,21,8,39,Palermo,32,Italy - Serie A
21,Alessandro Diamanti,603,390,213,64.6766169154229,110,49,61,44.54545454545455,285,258,27,90.52631578947368,139,48,91,34.53237410071942,21.54196424879045,64,20,44,31.25,21,1,29,16,14,8,50,Atalanta,16,Italy - Serie A
22,Alessandro Florenzi,1879,1451,428,77.2219265566791,248,153,95,61.693548387096776,935,861,74,92.08556149732621,297,140,157,47.13804713804714,19.72005211035685,83,31,52,37.34939759036144,35,3,49,23,24,11,27,AS Roma,33,Italy - Serie A
23,Alessandro Frara,449,299,150,66.59242761692651,68,24,44,35.294117647058826,241,209,32,86.72199170124482,68,19,49,27.941176470588236,18.86932303242174,14,2,12,14.285714285714285,7,0,10,6,6,3,17,Frosinone,20,Italy - Serie A
24,Alessandro Gamberini,657,527,130,80.2130898021309,48,18,30,37.5,366,358,8,97.81420765027322,80,25,55,31.25,19.734999897035507,1,1,0,100.0,2,1,3,3,0,0,8,Chievo,22,Italy - Serie A
25,Alessandro Gazzi,608,512,96,84.21052631578947,63,39,24,61.904761904761905,340,324,16,95.29411764705881,42,22,20,52.38095238095239,19.170775778203183,1,1,0,100.0,10,0,4,3,0,0,8,Torino,15,Italy - Serie A
26,Alessandro Longhi,179,130,49,72.62569832402235,24,12,12,50.0,76,73,3,96.05263157894737,23,4,19,17.391304347826086,17.402898197427486,4,0,4,0.0,1,1,1,1,0,0,2,Sassuolo,6,Italy - Serie A
27,Alessandro Matri,185,109,76,58.91891891891892,24,15,9,62.5,107,79,28,73.83177570093457,14,7,7,50.0,14.270651518666378,13,2,11,15.384615384615385,6,1,13,4,5,1,15,Lazio,19,Italy - Serie A
