index,player,total_passes,total_completed,total_uncompleted,total_percentage%,f3_passes,f3_completed,f3_uncompleted,f3_percentage%,short_passes,short_completed,short_uncompleted,short_percentage%,long_passes,long_completed,long_uncompleted,long_percentage%,average_pass_length,crosses,crosses_completed,crosses_uncompleted,crosses_percentage%,total_shot_assists,total_goal_assists,dribbles,dribbles_completed,dribbles_f3,dribbles_f3_completed,fouls_won,team,MP,competition
0,Abdoul Karim Yoda,526,392,134,74.52471482889734,48,30,18,62.5,295,262,33,88.8135593220339,59,19,40,32.20338983050847,17.709534917397445,27,7,20,25.925925925925924,10,0,67,40,36,23,10,Getafe,18,Spain - La Liga
1,Abdoulaye Doucouré,577,482,95,83.53552859618716,48,31,17,64.58333333333334,378,351,27,92.85714285714286,41,21,20,51.21951219512195,17.36005746690967,3,2,1,66.66666666666666,9,2,18,10,2,1,8,Granada,15,Spain - La Liga
2,Abraham González Casanova,531,414,117,77.96610169491525,66,41,25,62.121212121212125,293,264,29,90.10238907849829,74,35,39,47.2972972972973,18.88360286264,12,1,11,8.333333333333332,15,1,6,2,2,1,9,Espanyol,20,Spain - La Liga
3,Adalberto Peñaranda Maestre,381,276,105,72.44094488188976,32,16,16,50.0,264,214,50,81.06060606060606,18,9,9,50.0,13.72778394888,17,3,14,17.647058823529413,12,3,66,40,37,20,41,Granada,23,Spain - La Liga
4,Aderllan Leandro de Jesus Santos,657,545,112,82.95281582952816,46,17,29,36.95652173913043,376,361,15,96.01063829787235,74,20,54,27.027027027027028,22.013345835746847,0,0,0,0.0,1,0,9,8,0,0,6,Valencia,17,Spain - La Liga
5,Adil Rami,1099,861,238,78.343949044586,166,73,93,43.97590361445783,563,537,26,95.38188277087033,204,88,116,43.13725490196079,24.144540646282657,6,0,6,0.0,4,1,5,3,3,1,19,Sevilla,28,Spain - La Liga
6,Adnane Tighadouini,146,88,58,60.273972602739725,14,8,6,57.14285714285714,84,63,21,75.0,22,9,13,40.909090909090914,17.127779499996162,9,4,5,44.44444444444444,5,0,34,16,17,7,6,Málaga,10,Spain - La Liga
7,Adriano Correia Claro,361,326,35,90.30470914127424,26,23,3,88.46153846153845,239,229,10,95.81589958158996,23,14,9,60.86956521739131,17.229726512181276,10,2,8,20.0,5,1,3,3,0,0,7,Barcelona,8,Spain - La Liga
8,Adrián Embarba Blázquez,761,480,281,63.074901445466494,46,24,22,52.17391304347826,410,339,71,82.68292682926828,118,34,84,28.8135593220339,17.025230150399686,93,23,70,24.731182795698924,24,4,70,30,32,13,35,Rayo Vallecano,28,Spain - La Liga
9,Adrián González Morales,1030,732,298,71.06796116504854,167,94,73,56.287425149700596,512,441,71,86.1328125,100,37,63,37.0,17.281175552041773,29,8,21,27.586206896551722,17,0,29,12,15,4,17,Eibar,32,Spain - La Liga
