index,player,total_shots,onTarget,offTarget,post,blocked,goals,xG_total,onTarget_percentage%,Shot_to_goal_ratio,Shot_onTarget_to_goal_ratio,xG/shot,team,MP,competition
0,Abdelhamid El Kaoutari,1,1,0,0,0,1,0.19812727,100.0,100.0,100.0,0.19812727,Palermo,1,Italy - Serie A
1,Abdoulay Konko,13,1,7,0,4,0,0.4898335138,7.6923076923076925,0.0,0.0,0.03767950106153846,Lazio,9,Italy - Serie A
2,Achraf Lazaar,29,8,12,0,7,1,0.5850540001,27.586206896551722,3.4482758620689653,12.5,0.02017427586551724,Palermo,20,Italy - Serie A
3,Adam Masina,13,2,4,0,4,2,1.573150089,15.384615384615385,15.384615384615385,100.0,0.12101154530769231,Bologna,10,Italy - Serie A
4,Adem Ljajić,39,12,12,1,13,3,3.0500474133,30.76923076923077,7.6923076923076925,25.0,0.07820634393076924,Inter Milan,17,Italy - Serie A
5,Adriano Russo,1,1,0,0,0,1,0.1262766,100.0,100.0,100.0,0.1262766,Frosinone,1,Italy - Serie A
6,Afriyie Acquah,24,8,8,0,6,2,0.9222500709,33.33333333333333,8.333333333333332,25.0,0.0384270862875,Torino,16,Italy - Serie A
7,Alberto Facundo Costa,19,3,7,0,7,0,0.5768118412,15.789473684210526,0.0,0.0,0.030358517957894734,Fiorentina,12,Italy - Serie A
8,Alberto Gilardino,49,17,18,2,8,10,8.12197113,34.69387755102041,20.408163265306122,58.82352941176471,0.16575451285714288,Palermo,24,Italy - Serie A
9,Alberto Grassi,16,4,8,0,3,0,0.9961642049,25.0,0.0,0.0,0.06226026280625,Atalanta,10,Italy - Serie A
10,Alberto Paloschi,41,17,15,0,7,8,9.464600239,41.46341463414634,19.51219512195122,47.05882352941176,0.23084390826829265,Chievo,18,Italy - Serie A
11,Aleandro Rosi,15,5,4,0,4,0,0.7323875056,33.33333333333333,0.0,0.0,0.04882583370666667,Frosinone,11,Italy - Serie A
12,Alejandro Darío Gómez,87,27,24,0,27,7,5.957725376,31.03448275862069,8.045977011494253,25.925925925925924,0.0684796020229885,Atalanta,30,Italy - Serie A
13,Aleksandar Tonev,32,8,16,0,7,0,0.97437269,25.0,0.0,0.0,0.0304491465625,Frosinone,13,Italy - Serie A
14,Aleksandar Trajkovski,39,15,13,1,9,3,2.7201598393,38.46153846153847,7.6923076923076925,20.0,0.06974768818717948,Palermo,21,Italy - Serie A
15,Alessandro Diamanti,24,6,7,0,8,1,1.4892472099,25.0,4.166666666666666,16.666666666666664,0.062051967079166666,Atalanta,11,Italy - Serie A
16,Alessandro Florenzi,48,15,12,1,15,7,3.2580288607,31.25,14.583333333333334,46.666666666666664,0.06787560126458334,AS Roma,25,Italy - Serie A
17,Alessandro Frara,12,3,3,0,5,2,1.0560061570000001,25.0,16.666666666666664,66.66666666666666,0.08800051308333334,Frosinone,6,Italy - Serie A
18,Alessandro Gamberini,4,0,1,1,1,0,0.277560567,0.0,0.0,0.0,0.06939014175,Chievo,3,Italy - Serie A
19,Alessandro Gazzi,2,1,0,0,0,0,0.14692644,50.0,0.0,0.0,0.07346322,Torino,2,Italy - Serie A
20,Alessandro Longhi,1,0,1,0,0,0,0.016861618,0.0,0.0,0.0,0.016861618,Sassuolo,1,Italy - Serie A
21,Alessandro Matri,12,6,5,0,0,4,2.1338127890000003,50.0,33.33333333333333,66.66666666666666,0.17781773241666668,Lazio,8,Italy - Serie A
22,Alessandro Piu,3,2,1,0,0,0,0.190685997,66.66666666666666,0.0,0.0,0.063561999,Empoli,2,Italy - Serie A
23,Alessio Cerci,39,11,13,2,11,4,4.4486840626,28.205128205128204,10.256410256410255,36.36363636363637,0.11406882211794872,AC Milan,19,Italy - Serie A
24,Alessio Romagnoli,6,0,4,0,1,0,0.321310017,0.0,0.0,0.0,0.0535516695,AC Milan,5,Italy - Serie A
25,Alex Ferrari,8,2,3,0,3,0,0.689982321,25.0,0.0,0.0,0.086247790125,Bologna,8,Italy - Serie A
